Color,Lat,Lon,Pos,Group
#EC7063,45.4275,-93.71528,2,C1
#EC7063,44.4448909,-96.4017949,2,C1
#EC7063,29.3372,-98.8821,1,C1
#EC7063,33.0640456,-96.9824472,1,C1
#EC7063,34.0064966,-87.2695139,1,C1
#EC7063,30.511099,-95.7568711,1,C1
#EC7063,44.4507502,-96.4044174,1,C1
#EC7063,47.9334758,-98.0710486,1,C1
#EC7063,46.5418893,-95.9818796,1,C1
#E59866,44.713469,-103.7185821,2,C2
#E59866,29.3343,-98.887,1,C2
#E59866,29.3381,-98.8836,1,C2
#E59866,29.55563,-98.4477,1,C2
#E59866,29.5619,-98.4486,1,C2
#E59866,31.032478,-97.620277,1,C2
#E59866,44.7186164,-103.7190723,1,C2
#E59866,46.0159123,-108.0283147,1,C2
#E59866,44.0630297,-104.7102029,1,C2
#E59866,44.0632976,-104.6990831,1,C2
#E59866,46.234213,-106.6345162,1,C2
#E59866,46.2431352,-106.6439743,1,C2
#F1C40F,39.657247,-82.147844,2,C3
#F1C40F,40.1372647,-87.74176,1,C3
#F1C40F,39.9325,-87.0712,1,C3
#F1C40F,39.6052343,-84.973552,1,C3
#F1C40F,36.3086225,-83.9600331,1,C3
#F1C40F,37.7928866,-83.6101443,1,C3
#F1C40F,40.621341,-82.3264263,1,C3
#F1C40F,41.208945,-81.55917,1,C3
#52BE80,30.4884399,-91.746747,4,C4
#52BE80,30.49279,-91.74798,4,C4
#52BE80,30.4802801,-91.743736,3,C4
#52BE80,30.4760131,-91.74115,2,C4
#52BE80,33.24728,-87.0671,1,C4
#52BE80,31.319904,-91.14516,1,C4
#52BE80,30.4840019,-91.746734,1,C4
#52BE80,31.2089951,-91.8682964,1,C4
#73C6B6,39.9562,-75.4407,3,C5
#73C6B6,40.907,-77.2809,3,C5
#73C6B6,40.9089,-77.2832,2,C5
#73C6B6,38.8850289,-76.5538653,1,C5
#73C6B6,40.9103,-77.2819,1,C5
#73C6B6,38.8896542,-76.5576079,1,C5
#73C6B6,39.9588,-75.4446,1,C5
#73C6B6,42.411224,-76.52864,1,C5
#73C6B6,42.397655,-76.534977,1,C5
#73C6B6,35.2398926,-81.2713556,1,C5
#7FB3D5,37.8041774,-83.6096555,1,C6
#7FB3D5,35.4844264,-83.8381136,1,C6
#7FB3D5,35.4849658,-83.8674553,1,C6
#7FB3D5,35.4726543,-83.8513034,1,C6
#85C1E9,34.654005,-84.086738,2,C7
#85C1E9,34.150439,-84.70825,1,C7
#85C1E9,34.6565263,-84.101453,1,C7
#85C1E9,34.6564421,-84.091359,1,C7
#85C1E9,34.657462,-84.106025,1,C7
#AF7AC5,33.1864,-86.1561,2,C8
#AF7AC5,33.2517677,-87.0592294,2,C8
#AF7AC5,33.3435544,-86.7345114,2,C8
#AF7AC5,33.3367219,-86.7407791,2,C8
#AF7AC5,33.44136,-85.839517,1,C8
#AF7AC5,33.25825,-87.0570722,1,C8
#AF7AC5,33.3348144,-86.7449969,1,C8
#AF7AC5,33.3450929,-86.7298528,1,C8
#ABB2B9,34.83714,-80.80314,1,C9
#ABB2B9,29.8537,-81.87718,1,C9
#ABB2B9,29.5571,-82.60769,1,C9
