,NC-GSM-2,NC-GSM-4,NC-GSM-5,TX-LL-2,TX-MC-1,TX-MC-3,TX-CR-1,TX-CR-3,TX-CR-4,TX-CR-5,TX-GCS-1,TX-GCS-2,TX-GCS-5,NC-CMSP-5,TX-DP-2,TX-DP-5,CO-HM-1,OH-WN-4,OH-CV-1,OH-CV-4,AL-OM-1,AL-OM-2,AL-OM-4,AL-OM-5,AL-TIH-1,AL-TIH-3,AL-TIH-4,KY-RR-2,KY-RR-5,NY-BM-1,NY-BM-2,NY-BM-5,TX-CB-2,TX-CB-4,SC-AJ-2,AL-CSP-3,DE-WC-1,DE-WC-2,DE-WC-3,DE-WC-5,PA-BE-2,PA-BE-3,PA-BE-4,PA-SGL-2,MD-SERC-1,MD-SERC-3,MN-BR-1,MN-BR-2,MN-BR-3,MN-BR-4,MN-BR-5,MN-MS-3,MN-MS-5,OH-MSF-2,PA-RC-2,PA-RC-3,IN-SS-1,SD-AS-2,SD-AS-3,IL-CL-2,GA-CNF-1,GA-CNF-2,GA-CNF-4,GA-CNF-5,SD-OL-3,SD-OL-4,IL-KS-1,SD-LH-1,SD-SS-1,SD-SS-2,WA-SB-4,ND-KS-1,ND-KS-2,ND-KS-3,ND-KS-4,ND-AN-1,ND-AN-2,ND-AN-4,ND-AN-5,ND-WL-1,ND-WL-2,ND-WL-5,ND-LL-1,ND-LL-2,ND-LL-3,ND-LL-4,ND-LL-5,ND-LI-5,ND-LN-4,ND-LN-5,ND-LZ-5,AL-BN-2,AL-BN-4,TN-WR-2,TN-WR-4,TN-WR-5,IN-WM-5,TN-CS-1,GA-RT-4,AL-TN-2,WY-TB-2,WY-TB-3,MT-CG-3,MT-PC-1,MT-PC-3,MT-PC-4,MI-PR-2,WY-BH-4,WY-BH-5,SD-BH-2,SD-BH-5,MN-CF-1,MN-CF-2,MN-LR-5,IA-RR-4,IA-CS-4,IA-CS-5,TX-SH-2,FL-WP-3,KS-MS-2,FL-BS-3,TX-MN-2,TX-MN-4,TX-MN-5,LA-HN-5,MN-SD-5,MN-RR-3,LA-LO-1,LA-LO-2,LA-LO-3,LA-AN-1,LA-AN-2,LA-AN-3,LA-AN-4,LA-AN-5,MN-MH-3,MN-MH-4,MN-MH-5
NC-GSM-2,0.0,42.107292,37.307255,54.77851,37.89567,35.306526,44.27883,44.27883,44.27883,44.27883,53.480965,53.480965,44.108147,56.554276,50.323914,58.398453,44.910576,67.02797,54.651215,58.102943,56.45926,56.45926,57.243397,52.578075,62.790447,60.459915,62.861355,75.56896,75.61841,55.084072,57.428665,57.096268,53.59013,53.02781,62.383263,72.43156,48.380405,48.380405,48.380405,48.380405,67.53217,67.53217,67.53217,61.153683,68.30713,61.563263,40.835457,40.2516,40.2516,36.626896,36.626896,66.57423,60.98474,60.78266,49.54271,52.47746,47.89956,37.473976,37.473976,42.581303,77.23321,77.23321,77.6397,77.6397,53.66429,53.249325,46.735245,44.35654,38.14118,38.14118,33.98474,36.520535,34.55591,37.656677,37.656677,37.70429,40.357075,47.41219,45.809555,41.38385,41.38385,41.816963,46.934635,46.934635,44.883793,44.333538,44.333538,46.746937,54.16237,52.53102,37.739796,70.64937,74.646126,39.747086,39.747086,35.023422,53.45796,73.248886,68.53371,71.78077,54.79706,54.612694,46.84232,51.267464,51.267464,50.87653,85.51216,53.61545,55.03576,53.624214,54.447506,36.67065,36.67065,54.43902,43.27949,34.084568,34.084568,65.13134,45.05917,57.71407,71.03894,52.627136,51.158546,50.75377,73.85749,59.346226,65.24298,54.94114,51.023468,48.88777,66.71251,66.81475,66.81475,67.93247,68.516884,40.482132,40.482132,42.211506
NC-GSM-4,42.107292,0.0,37.275303,54.77218,37.8948,35.305412,44.241592,44.241592,44.241592,44.241592,53.45289,53.45289,44.09442,56.52819,50.29975,58.35388,44.875282,67.08227,54.61918,58.072365,56.422733,56.422733,57.208145,52.542717,62.777256,60.442623,62.84593,75.81862,75.90303,55.111084,57.490486,57.09066,53.57203,52.972973,62.36841,72.57399,48.35015,48.35015,48.35015,48.35015,67.500435,67.500435,67.500435,61.129093,68.28043,61.543762,40.834057,40.251263,40.251263,36.626816,36.626816,66.556946,60.96756,60.77436,49.508793,52.442116,47.887054,37.45135,37.45135,42.583267,77.55466,77.55466,77.92227,77.92227,53.636814,53.221813,46.735065,44.336926,38.124313,38.124313,33.985897,36.52048,34.555878,37.656185,37.656185,37.683727,40.33679,47.381294,45.77912,41.35799,41.35799,41.794617,46.912075,46.912075,44.860992,44.311,44.311,46.72758,54.127533,52.519367,37.7269,70.81525,74.88851,39.737392,39.737392,35.035656,53.42428,73.28786,68.49809,71.8816,55.03864,54.84618,46.809834,51.205788,51.205788,50.938778,85.90538,53.66441,55.05129,53.63357,54.536667,36.670338,36.670338,54.412178,43.277412,34.085224,34.085224,65.11388,45.036385,57.695465,71.167755,52.603867,51.134613,50.72613,74.03431,59.299793,65.28649,54.92218,51.00789,48.84553,66.70292,66.79578,66.79578,67.91425,68.50487,40.471874,40.471874,42.200634
NC-GSM-5,37.307255,37.275303,0.0,54.84942,37.961212,35.371143,44.356113,44.356113,44.356113,44.356113,53.55676,53.55676,44.180553,56.617416,50.41062,58.461056,44.98764,67.19113,54.72503,58.176407,56.5326,56.5326,57.317207,52.654224,62.846813,60.522457,62.919666,76.103676,76.145874,55.32403,57.58483,57.20093,53.661488,53.05621,62.458393,72.68418,48.44473,48.44473,48.44473,48.44473,67.55262,67.55262,67.55262,61.236107,68.360054,61.616554,40.905266,40.318592,40.318592,36.691727,36.691727,66.637276,61.042747,60.845875,49.60107,52.55027,47.97186,37.54708,37.54708,42.646984,77.89771,77.89771,78.323425,78.323425,53.74085,53.325077,46.802,44.42893,38.21355,38.21355,34.047855,36.58738,34.62227,37.724327,37.724327,37.77691,40.431652,47.48806,45.884605,41.457733,41.457733,41.890102,46.997562,46.997562,44.946285,44.395832,44.395832,46.80648,54.215103,52.593235,37.812305,71.14353,75.15813,39.814667,39.814667,35.103165,53.532272,73.383224,68.58068,72.017914,55.296753,55.10179,46.922073,51.280647,51.280647,50.996616,86.34084,53.78413,55.271103,53.716843,54.673874,36.73882,36.73882,54.50982,43.34975,34.15026,34.15026,65.1869,45.11698,57.770855,71.31781,52.673943,51.22049,50.80454,74.37147,59.391705,65.46082,54.999107,51.08571,48.9204,66.77282,66.87143,66.87143,67.987595,68.57089,40.554913,40.554913,42.284138
TX-LL-2,54.77851,54.77218,54.84942,0.0,27.881441,25.396673,32.459885,32.459885,32.459885,32.459885,42.191612,42.191612,33.332672,42.713707,38.486805,45.997433,33.352356,47.75868,42.653126,45.615074,44.467995,44.467995,45.025406,40.689274,47.70226,46.09434,48.047997,53.230675,53.38538,38.36018,40.434914,39.85365,39.799927,39.47737,45.456104,53.09583,35.304585,35.304585,35.304585,35.304585,51.64191,51.64191,51.64191,46.8395,51.341614,45.32538,30.624916,30.241446,30.241446,26.78746,26.78746,52.430553,45.937378,45.08466,37.97101,40.575424,37.164078,26.483303,26.483303,32.694916,53.800594,53.800594,54.119114,54.119114,42.37029,42.025913,36.713387,33.4428,27.199574,27.199574,24.350042,26.515089,24.568989,27.58999,27.58999,26.67669,29.342333,36.177654,34.585804,30.23355,30.23355,30.748375,34.16756,34.16756,32.085094,31.523989,31.523989,32.75508,40.595406,38.817566,27.04107,49.682575,53.704315,29.589619,29.589619,25.027668,41.91509,53.796513,53.283752,52.063698,35.864506,35.682274,34.880516,35.993702,35.993702,35.55271,58.152878,37.842075,39.290703,37.146534,37.799183,26.509388,26.509388,41.89693,33.118748,24.232006,24.232006,50.094593,31.60582,42.909973,51.14045,38.682777,37.40955,37.226814,50.92542,44.720314,47.079094,41.437954,37.769165,35.615654,51.887455,51.908978,51.908978,52.69277,53.32778,29.875904,29.875904,31.581158
TX-MC-1,37.89567,37.8948,37.961212,27.881441,0.0,5.1488156,15.836951,15.836951,15.836951,15.836951,24.79603,24.79603,15.8001375,26.188044,22.033869,29.367542,16.933113,31.055782,26.08138,28.979584,27.868465,27.868465,28.436817,24.191208,31.048708,29.47346,31.383236,36.41739,36.5673,21.928852,23.955133,23.369194,23.287796,22.962309,28.826317,36.30328,18.940563,18.940563,18.940563,18.940563,34.90385,34.90385,34.90385,30.26312,34.591667,28.708033,14.376506,14.013207,14.013207,10.587965,10.587965,35.717106,29.265598,28.490349,21.482288,24.056076,20.733053,10.148617,10.148617,16.447586,36.952095,36.952095,37.269115,37.269115,25.904408,25.571035,20.405134,17.119879,10.938932,10.938932,8.232454,10.336544,8.40449,11.432075,11.432075,10.381378,13.063894,19.826408,18.231018,13.89538,13.89538,14.417194,17.718277,17.718277,15.651351,15.096857,15.096857,16.421394,24.050894,22.283424,10.763321,32.940514,36.900375,13.587122,13.587122,9.055965,25.439272,36.993458,36.546043,35.28252,19.435583,19.258657,18.455496,19.59348,19.59348,19.160872,41.132633,21.344955,22.771675,20.730684,21.35861,10.42923,10.42923,25.347069,16.833105,7.967958,7.967958,33.40862,15.321432,26.326668,34.38382,22.18125,20.918026,20.747004,34.147453,28.097181,30.39428,24.86767,21.24384,19.089703,35.237926,35.261555,35.261555,36.001957,36.648933,13.549739,13.549739,15.226039
TX-MC-3,35.306526,35.305412,35.371143,25.396673,5.1488156,0.0,13.349898,13.349898,13.349898,13.349898,22.375364,22.375364,13.307479,23.64726,19.490627,26.83683,14.415066,28.485918,23.57005,26.471706,25.348864,25.348864,25.919855,21.670963,28.49436,26.925999,28.834682,33.847717,33.99934,19.375427,21.401073,20.811066,20.763659,20.443514,26.271967,33.73525,16.409708,16.409708,16.409708,16.409708,32.362476,32.362476,32.362476,27.733784,32.032024,26.137486,11.883913,11.521894,11.521894,8.113346,8.113346,33.190132,26.720722,25.970049,18.970785,21.546873,18.235973,7.670127,7.670127,13.962611,34.371677,34.371677,34.688034,34.688034,23.414156,23.08055,17.918308,14.623297,8.462785,8.462785,5.776335,7.859802,5.944498,8.9491205,8.9491205,7.90336,10.566684,17.330727,15.733019,11.393009,11.393009,11.912898,15.212543,15.212543,13.149911,12.599649,12.599649,13.896032,21.537014,19.766212,8.284912,30.37653,34.348774,11.081742,11.081742,6.6020265,22.93566,34.435734,34.02869,32.72538,16.891356,16.713985,15.920372,17.049347,17.049347,16.614399,38.51434,18.806206,20.230812,18.187372,18.815237,7.9549294,7.9549294,22.830853,14.344012,5.514607,5.514607,30.886751,12.807817,23.788729,31.831188,19.645344,18.379583,18.213171,31.560783,25.56852,27.84652,22.334047,18.711573,16.58039,32.69464,32.725246,32.725246,33.45379,34.10471,11.050967,11.050967,12.723579
TX-CR-1,44.27883,44.241592,44.356113,32.459885,15.836951,13.349898,0.0,0.0,0.0,0.0,29.50111,29.50111,20.438318,31.522509,27.110308,34.55315,21.845222,36.96969,31.06545,34.075073,32.959053,32.959053,33.595722,29.257269,36.774956,35.128113,37.089645,42.471718,42.612694,27.349958,29.417208,28.8824,28.463064,28.141321,34.45764,42.231483,24.043636,24.043636,24.043636,24.043636,40.492992,40.492992,40.492992,35.68024,40.50343,34.510387,18.84703,18.426231,18.426231,14.955484,14.955484,41.244663,34.876335,33.80736,26.390343,29.01102,25.404964,14.831006,14.831006,20.836887,43.20217,43.20217,43.518105,43.518105,30.646612,30.32326,24.850319,21.761572,15.615143,15.615143,12.49124,14.727578,12.787266,15.831193,15.831193,15.061562,17.73804,24.540508,22.96649,18.647541,18.647541,19.151518,22.701527,22.701527,20.633831,20.082058,20.082058,21.546555,29.214235,27.437046,15.379479,38.837666,42.837536,17.918081,17.918081,13.321946,30.288326,42.929314,42.007156,41.131687,24.82374,24.641592,23.507072,24.891014,24.891014,24.468504,48.016685,26.645014,28.074219,26.103167,26.765387,14.807087,14.807087,30.414915,21.268396,12.356572,12.356572,38.823334,20.40002,31.63097,40.235798,27.479864,26.205309,25.99057,40.308697,33.443295,36.063183,30.149267,26.485645,24.31811,40.75485,40.800632,40.800632,41.621826,42.25865,18.155476,18.155476,19.839582
TX-CR-3,44.27883,44.241592,44.356113,32.459885,15.836951,13.349898,0.0,0.0,0.0,0.0,29.50111,29.50111,20.438318,31.522509,27.110308,34.55315,21.845222,36.96969,31.06545,34.075073,32.959053,32.959053,33.595722,29.257269,36.774956,35.128113,37.089645,42.471718,42.612694,27.349958,29.417208,28.8824,28.463064,28.141321,34.45764,42.231483,24.043636,24.043636,24.043636,24.043636,40.492992,40.492992,40.492992,35.68024,40.50343,34.510387,18.84703,18.426231,18.426231,14.955484,14.955484,41.244663,34.876335,33.80736,26.390343,29.01102,25.404964,14.831006,14.831006,20.836887,43.20217,43.20217,43.518105,43.518105,30.646612,30.32326,24.850319,21.761572,15.615143,15.615143,12.49124,14.727578,12.787266,15.831193,15.831193,15.061562,17.73804,24.540508,22.96649,18.647541,18.647541,19.151518,22.701527,22.701527,20.633831,20.082058,20.082058,21.546555,29.214235,27.437046,15.379479,38.837666,42.837536,17.918081,17.918081,13.321946,30.288326,42.929314,42.007156,41.131687,24.82374,24.641592,23.507072,24.891014,24.891014,24.468504,48.016685,26.645014,28.074219,26.103167,26.765387,14.807087,14.807087,30.414915,21.268396,12.356572,12.356572,38.823334,20.40002,31.63097,40.235798,27.479864,26.205309,25.99057,40.308697,33.443295,36.063183,30.149267,26.485645,24.31811,40.75485,40.800632,40.800632,41.621826,42.25865,18.155476,18.155476,19.839582
TX-CR-4,44.27883,44.241592,44.356113,32.459885,15.836951,13.349898,0.0,0.0,0.0,0.0,29.50111,29.50111,20.438318,31.522509,27.110308,34.55315,21.845222,36.96969,31.06545,34.075073,32.959053,32.959053,33.595722,29.257269,36.774956,35.128113,37.089645,42.471718,42.612694,27.349958,29.417208,28.8824,28.463064,28.141321,34.45764,42.231483,24.043636,24.043636,24.043636,24.043636,40.492992,40.492992,40.492992,35.68024,40.50343,34.510387,18.84703,18.426231,18.426231,14.955484,14.955484,41.244663,34.876335,33.80736,26.390343,29.01102,25.404964,14.831006,14.831006,20.836887,43.20217,43.20217,43.518105,43.518105,30.646612,30.32326,24.850319,21.761572,15.615143,15.615143,12.49124,14.727578,12.787266,15.831193,15.831193,15.061562,17.73804,24.540508,22.96649,18.647541,18.647541,19.151518,22.701527,22.701527,20.633831,20.082058,20.082058,21.546555,29.214235,27.437046,15.379479,38.837666,42.837536,17.918081,17.918081,13.321946,30.288326,42.929314,42.007156,41.131687,24.82374,24.641592,23.507072,24.891014,24.891014,24.468504,48.016685,26.645014,28.074219,26.103167,26.765387,14.807087,14.807087,30.414915,21.268396,12.356572,12.356572,38.823334,20.40002,31.63097,40.235798,27.479864,26.205309,25.99057,40.308697,33.443295,36.063183,30.149267,26.485645,24.31811,40.75485,40.800632,40.800632,41.621826,42.25865,18.155476,18.155476,19.839582
TX-CR-5,44.27883,44.241592,44.356113,32.459885,15.836951,13.349898,0.0,0.0,0.0,0.0,29.50111,29.50111,20.438318,31.522509,27.110308,34.55315,21.845222,36.96969,31.06545,34.075073,32.959053,32.959053,33.595722,29.257269,36.774956,35.128113,37.089645,42.471718,42.612694,27.349958,29.417208,28.8824,28.463064,28.141321,34.45764,42.231483,24.043636,24.043636,24.043636,24.043636,40.492992,40.492992,40.492992,35.68024,40.50343,34.510387,18.84703,18.426231,18.426231,14.955484,14.955484,41.244663,34.876335,33.80736,26.390343,29.01102,25.404964,14.831006,14.831006,20.836887,43.20217,43.20217,43.518105,43.518105,30.646612,30.32326,24.850319,21.761572,15.615143,15.615143,12.49124,14.727578,12.787266,15.831193,15.831193,15.061562,17.73804,24.540508,22.96649,18.647541,18.647541,19.151518,22.701527,22.701527,20.633831,20.082058,20.082058,21.546555,29.214235,27.437046,15.379479,38.837666,42.837536,17.918081,17.918081,13.321946,30.288326,42.929314,42.007156,41.131687,24.82374,24.641592,23.507072,24.891014,24.891014,24.468504,48.016685,26.645014,28.074219,26.103167,26.765387,14.807087,14.807087,30.414915,21.268396,12.356572,12.356572,38.823334,20.40002,31.63097,40.235798,27.479864,26.205309,25.99057,40.308697,33.443295,36.063183,30.149267,26.485645,24.31811,40.75485,40.800632,40.800632,41.621826,42.25865,18.155476,18.155476,19.839582
