,NC-GSM-2,NC-GSM-4,NC-GSM-5,TX-LL-2,TX-MC-1,TX-MC-3,TX-CR-1,TX-CR-3,TX-CR-4,TX-CR-5,TX-GCS-1,TX-GCS-2,TX-GCS-5,NC-CMSP-5,TX-DP-2,TX-DP-5,CO-HM-1,OH-WN-4,OH-CV-1,OH-CV-4,AL-OM-1,AL-OM-2,AL-OM-4,AL-OM-5,AL-TIH-1,AL-TIH-3,AL-TIH-4,KY-RR-2,KY-RR-5,NY-BM-1,NY-BM-2,NY-BM-5,TX-CB-2,TX-CB-4,SC-AJ-2,AL-CSP-3,DE-WC-1,DE-WC-2,DE-WC-3,DE-WC-5,PA-BE-2,PA-BE-3,PA-BE-4,PA-SGL-2,MD-SERC-1,MD-SERC-3,MN-BR-1,MN-BR-2,MN-BR-3,MN-BR-4,MN-BR-5,MN-MS-3,MN-MS-5,OH-MSF-2,PA-RC-2,PA-RC-3,IN-SS-1,SD-AS-2,SD-AS-3,IL-CL-2,GA-CNF-1,GA-CNF-2,GA-CNF-4,GA-CNF-5,SD-OL-3,SD-OL-4,IL-KS-1,SD-LH-1,SD-SS-1,SD-SS-2,WA-SB-4,ND-KS-1,ND-KS-2,ND-KS-3,ND-KS-4,ND-AN-1,ND-AN-2,ND-AN-4,ND-AN-5,ND-WL-1,ND-WL-2,ND-WL-5,ND-LL-1,ND-LL-2,ND-LL-3,ND-LL-4,ND-LL-5,ND-LI-5,ND-LN-4,ND-LN-5,ND-LZ-5,AL-BN-2,AL-BN-4,TN-WR-2,TN-WR-4,TN-WR-5,IN-WM-5,TN-CS-1,GA-RT-4,AL-TN-2,WY-TB-2,WY-TB-3,MT-CG-3,MT-PC-1,MT-PC-3,MT-PC-4,MI-PR-2,WY-BH-4,WY-BH-5,SD-BH-2,SD-BH-5,MN-CF-1,MN-CF-2,MN-LR-5,IA-RR-4,IA-CS-4,IA-CS-5,TX-SH-2,FL-WP-3,KS-MS-2,FL-BS-3,TX-MN-2,TX-MN-4,TX-MN-5,LA-HN-5,MN-SD-5,MN-RR-3,LA-LO-1,LA-LO-2,LA-LO-3,LA-AN-1,LA-AN-2,LA-AN-3,LA-AN-4,LA-AN-5,MN-MH-3,MN-MH-4,MN-MH-5
NC-GSM-2,0.0,0.5932224,0.5932224,44.8053,40.079895,40.079895,9.369658,9.369658,9.369658,9.369658,7.2587957,7.2587957,14.927089,16.436977,20.968767,18.41478,9.889292,8.774052,21.218702,19.15373,14.36805,14.36805,14.36805,14.36805,10.415938,11.63979,11.63979,5.5867944,5.5867944,12.593,12.593,9.846251,4.532357,4.532357,10.561657,6.215235,22.077583,22.077583,22.077583,22.077583,5.574988,5.574988,5.574988,7.3829923,24.099741,24.099741,10.002755,10.002755,10.002755,9.367576,9.367576,18.044836,16.3365,8.762848,26.077393,26.496931,7.795415,9.083037,9.083037,10.63548,4.715747,4.715747,4.498873,4.498873,11.613736,11.440637,11.069641,12.478924,7.7707624,7.7707624,5.2336655,8.363891,7.9478416,8.363891,8.363891,8.853508,8.853508,9.298985,9.298985,6.181731,6.181731,6.0569377,10.237071,10.237071,10.285153,10.285153,10.285153,6.519591,8.769098,8.769098,8.12382,12.489597,13.222874,34.029053,34.029053,34.029053,9.932139,10.799422,20.139147,6.9586644,4.6402617,4.6663246,5.2452188,4.5743155,4.5743155,4.5743155,13.050186,7.1930137,6.4700255,8.223773,7.286486,44.968555,44.968555,23.1213,24.852215,7.9659734,7.9659734,7.6948223,9.576574,17.320023,11.538442,7.347506,8.307383,8.307383,8.640157,14.094896,10.535713,14.653333,13.501553,12.639846,18.057629,18.057629,18.057629,18.031408,18.031408,10.435523,10.435523,10.435523
NC-GSM-4,0.5932224,0.0,0.0,44.749767,40.040127,40.040127,9.33511,9.33511,9.33511,9.33511,7.2258677,7.2258677,14.892259,16.396154,20.924938,18.381664,9.85441,8.737307,21.171116,19.111937,14.330258,14.330258,14.330258,14.330258,10.383511,11.600407,11.600407,5.550945,5.550945,12.554173,12.554173,9.807825,4.503657,4.503657,10.522405,6.1782246,22.042074,22.042074,22.042074,22.042074,5.545715,5.545715,5.545715,7.346785,24.046999,24.046999,9.965115,9.965115,9.965115,9.331168,9.331168,18.005898,16.305632,8.728283,26.026669,26.447666,7.7592306,9.050207,9.050207,10.599573,4.75792,4.75792,4.531121,4.531121,11.576812,11.405482,11.03198,12.447986,7.7347875,7.7347875,5.2029424,8.327447,7.9108524,8.327447,8.327447,8.815348,8.815348,9.261041,9.261041,6.147784,6.147784,6.022513,10.199884,10.199884,10.2526455,10.2526455,10.2526455,6.4847093,8.732813,8.732813,8.087894,12.454822,13.184486,33.988445,33.988445,33.988445,9.892883,10.762832,20.104197,6.926682,4.611421,4.637411,5.212763,4.546255,4.546255,4.546255,13.008467,7.1597834,6.4371996,8.189369,7.2516017,44.91228,44.91228,23.076658,24.815521,7.932648,7.932648,7.6557336,9.535358,17.286983,11.493842,7.3094187,8.27105,8.27105,8.609634,14.056224,10.493561,14.613734,13.464277,12.599496,18.01967,18.01967,18.01967,17.986055,17.986055,10.395427,10.395427,10.395427
NC-GSM-5,0.5932224,0.0,0.0,44.749767,40.040127,40.040127,9.33511,9.33511,9.33511,9.33511,7.2258677,7.2258677,14.892259,16.396154,20.924938,18.381664,9.85441,8.737307,21.171116,19.111937,14.330258,14.330258,14.330258,14.330258,10.383511,11.600407,11.600407,5.550945,5.550945,12.554173,12.554173,9.807825,4.503657,4.503657,10.522405,6.1782246,22.042074,22.042074,22.042074,22.042074,5.545715,5.545715,5.545715,7.346785,24.046999,24.046999,9.965115,9.965115,9.965115,9.331168,9.331168,18.005898,16.305632,8.728283,26.026669,26.447666,7.7592306,9.050207,9.050207,10.599573,4.75792,4.75792,4.531121,4.531121,11.576812,11.405482,11.03198,12.447986,7.7347875,7.7347875,5.2029424,8.327447,7.9108524,8.327447,8.327447,8.815348,8.815348,9.261041,9.261041,6.147784,6.147784,6.022513,10.199884,10.199884,10.2526455,10.2526455,10.2526455,6.4847093,8.732813,8.732813,8.087894,12.454822,13.184486,33.988445,33.988445,33.988445,9.892883,10.762832,20.104197,6.926682,4.611421,4.637411,5.212763,4.546255,4.546255,4.546255,13.008467,7.1597834,6.4371996,8.189369,7.2516017,44.91228,44.91228,23.076658,24.815521,7.932648,7.932648,7.6557336,9.535358,17.286983,11.493842,7.3094187,8.27105,8.27105,8.609634,14.056224,10.493561,14.613734,13.464277,12.599496,18.01967,18.01967,18.01967,17.986055,17.986055,10.395427,10.395427,10.395427
TX-LL-2,44.8053,44.749767,44.749767,0.0,83.68112,83.68112,50.61778,50.61778,50.61778,50.61778,48.5488,48.5488,56.39121,60.632,63.752373,61.228416,51.01209,52.68599,67.579605,65.5243,58.630863,58.630863,58.630863,58.630863,54.45473,55.754147,55.754147,48.270252,48.270252,56.2181,56.2181,53.362354,44.790615,44.790615,54.958424,49.258816,68.41237,68.41237,68.41237,68.41237,47.05126,47.05126,47.05126,49.16635,71.976616,71.976616,54.021446,54.021446,54.021446,53.346527,53.346527,62.600494,60.96145,53.247944,73.39092,73.77602,51.84545,53.020927,53.020927,54.578297,46.484043,46.484043,46.24042,46.24042,55.570766,55.408257,55.099705,56.294785,51.687145,51.687145,46.605812,52.1925,51.776554,52.1925,52.1925,52.75488,52.75488,53.19735,53.19735,47.148216,47.148216,47.062492,54.168205,54.168205,54.261055,54.261055,54.261055,48.104866,52.213245,52.213245,50.293808,56.46035,57.13844,79.026344,79.026344,79.026344,54.378025,53.50381,63.30334,50.077393,44.919464,44.974205,45.621174,44.826904,44.826904,44.826904,58.155273,47.95193,47.140717,49.48092,48.520187,91.97614,91.97614,68.7474,69.21814,51.894638,51.894638,51.84956,54.48672,60.10384,56.818302,49.924995,50.943016,50.943016,52.03923,59.29946,55.4162,59.027466,57.881775,57.034294,63.248478,63.248478,63.248478,63.244217,63.244217,54.649086,54.649086,54.649086
TX-MC-1,40.079895,40.040127,40.040127,83.68112,0.0,0.0,44.68827,44.68827,44.68827,44.68827,41.649475,41.649475,49.173553,53.284184,57.38812,54.74492,45.74018,45.134174,58.904472,56.859974,51.114468,51.114468,51.114468,51.114468,46.914368,48.172234,48.172234,41.753372,41.753372,49.079006,49.079006,46.286854,39.98618,39.98618,47.15733,42.40988,59.61161,59.61161,59.61161,59.61161,41.49306,41.49306,41.49306,43.456314,62.484432,62.484432,46.414978,46.414978,46.414978,45.753647,45.753647,54.808746,53.147133,45.263916,64.41472,64.80927,44.16334,45.434795,45.434795,46.98486,41.293377,41.293377,41.055202,41.055202,48.022522,47.860085,47.459026,48.8553,44.101654,44.101654,41.110054,44.676243,44.259544,44.676243,44.676243,45.192596,45.192596,45.642838,45.642838,41.94279,41.94279,41.833736,46.655373,46.655373,46.728474,46.728474,46.728474,42.487545,45.09463,45.09463,44.25355,48.99265,49.702156,71.17068,71.17068,71.17068,46.42263,47.380543,56.96802,43.15956,40.119682,40.155045,40.773003,40.0485,40.0485,40.0485,49.93501,42.888718,42.123264,44.114056,43.162666,83.475464,83.475464,60.511726,61.63086,44.335068,44.335068,44.103264,46.176502,53.636032,48.402756,43.600636,44.58608,44.58608,44.89843,51.050133,47.211258,51.356205,50.18169,49.3234,55.066143,55.066143,55.066143,55.059135,55.059135,46.893192,46.893192,46.893192
TX-MC-3,40.079895,40.040127,40.040127,83.68112,0.0,0.0,44.68827,44.68827,44.68827,44.68827,41.649475,41.649475,49.173553,53.284184,57.38812,54.74492,45.74018,45.134174,58.904472,56.859974,51.114468,51.114468,51.114468,51.114468,46.914368,48.172234,48.172234,41.753372,41.753372,49.079006,49.079006,46.286854,39.98618,39.98618,47.15733,42.40988,59.61161,59.61161,59.61161,59.61161,41.49306,41.49306,41.49306,43.456314,62.484432,62.484432,46.414978,46.414978,46.414978,45.753647,45.753647,54.808746,53.147133,45.263916,64.41472,64.80927,44.16334,45.434795,45.434795,46.98486,41.293377,41.293377,41.055202,41.055202,48.022522,47.860085,47.459026,48.8553,44.101654,44.101654,41.110054,44.676243,44.259544,44.676243,44.676243,45.192596,45.192596,45.642838,45.642838,41.94279,41.94279,41.833736,46.655373,46.655373,46.728474,46.728474,46.728474,42.487545,45.09463,45.09463,44.25355,48.99265,49.702156,71.17068,71.17068,71.17068,46.42263,47.380543,56.96802,43.15956,40.119682,40.155045,40.773003,40.0485,40.0485,40.0485,49.93501,42.888718,42.123264,44.114056,43.162666,83.475464,83.475464,60.511726,61.63086,44.335068,44.335068,44.103264,46.176502,53.636032,48.402756,43.600636,44.58608,44.58608,44.89843,51.050133,47.211258,51.356205,50.18169,49.3234,55.066143,55.066143,55.066143,55.059135,55.059135,46.893192,46.893192,46.893192
TX-CR-1,9.369658,9.33511,9.33511,50.61778,44.68827,44.68827,0.0,0.0,0.0,0.0,9.975337,9.975337,17.64052,21.573692,25.946983,23.391788,14.519637,13.683645,26.603086,24.532646,19.404198,19.404198,19.404198,19.404198,15.401699,16.64029,16.64029,10.349001,10.349001,17.563152,17.563152,14.798437,9.00741,9.00741,15.592816,11.08782,27.405264,27.405264,27.405264,27.405264,10.304738,10.304738,10.304738,12.258393,29.908619,29.908619,14.946798,14.946798,14.946798,14.293816,14.293816,23.097637,21.393597,13.734327,31.68468,32.057766,12.69827,13.989516,13.989516,15.54058,10.429356,10.429356,10.19413,10.19413,16.541567,16.371618,15.996553,17.388643,12.662077,12.662077,9.790489,13.248917,12.828954,13.248917,13.248917,13.761351,13.761351,14.209997,14.209997,10.613529,10.613529,10.4802,15.165991,15.165991,15.222542,15.222542,15.222542,11.15556,13.6846075,13.6846075,12.992513,17.498468,18.224539,39.20659,39.20659,39.20659,14.916094,15.952772,25.287033,11.839253,9.11184,9.064716,9.6488495,9.003801,9.003801,9.003801,18.25501,11.73112,10.913557,12.64397,11.69238,50.627205,50.627205,28.427847,29.916325,12.864702,12.864702,12.616576,14.622429,22.145288,16.645584,12.224741,13.201544,13.201544,13.554048,19.234941,15.569142,19.702667,18.538778,17.675917,23.214312,23.214312,23.214312,23.195547,23.195547,15.397032,15.397032,15.397032
TX-CR-3,9.369658,9.33511,9.33511,50.61778,44.68827,44.68827,0.0,0.0,0.0,0.0,9.975337,9.975337,17.64052,21.573692,25.946983,23.391788,14.519637,13.683645,26.603086,24.532646,19.404198,19.404198,19.404198,19.404198,15.401699,16.64029,16.64029,10.349001,10.349001,17.563152,17.563152,14.798437,9.00741,9.00741,15.592816,11.08782,27.405264,27.405264,27.405264,27.405264,10.304738,10.304738,10.304738,12.258393,29.908619,29.908619,14.946798,14.946798,14.946798,14.293816,14.293816,23.097637,21.393597,13.734327,31.68468,32.057766,12.69827,13.989516,13.989516,15.54058,10.429356,10.429356,10.19413,10.19413,16.541567,16.371618,15.996553,17.388643,12.662077,12.662077,9.790489,13.248917,12.828954,13.248917,13.248917,13.761351,13.761351,14.209997,14.209997,10.613529,10.613529,10.4802,15.165991,15.165991,15.222542,15.222542,15.222542,11.15556,13.6846075,13.6846075,12.992513,17.498468,18.224539,39.20659,39.20659,39.20659,14.916094,15.952772,25.287033,11.839253,9.11184,9.064716,9.6488495,9.003801,9.003801,9.003801,18.25501,11.73112,10.913557,12.64397,11.69238,50.627205,50.627205,28.427847,29.916325,12.864702,12.864702,12.616576,14.622429,22.145288,16.645584,12.224741,13.201544,13.201544,13.554048,19.234941,15.569142,19.702667,18.538778,17.675917,23.214312,23.214312,23.214312,23.195547,23.195547,15.397032,15.397032,15.397032
TX-CR-4,9.369658,9.33511,9.33511,50.61778,44.68827,44.68827,0.0,0.0,0.0,0.0,9.975337,9.975337,17.64052,21.573692,25.946983,23.391788,14.519637,13.683645,26.603086,24.532646,19.404198,19.404198,19.404198,19.404198,15.401699,16.64029,16.64029,10.349001,10.349001,17.563152,17.563152,14.798437,9.00741,9.00741,15.592816,11.08782,27.405264,27.405264,27.405264,27.405264,10.304738,10.304738,10.304738,12.258393,29.908619,29.908619,14.946798,14.946798,14.946798,14.293816,14.293816,23.097637,21.393597,13.734327,31.68468,32.057766,12.69827,13.989516,13.989516,15.54058,10.429356,10.429356,10.19413,10.19413,16.541567,16.371618,15.996553,17.388643,12.662077,12.662077,9.790489,13.248917,12.828954,13.248917,13.248917,13.761351,13.761351,14.209997,14.209997,10.613529,10.613529,10.4802,15.165991,15.165991,15.222542,15.222542,15.222542,11.15556,13.6846075,13.6846075,12.992513,17.498468,18.224539,39.20659,39.20659,39.20659,14.916094,15.952772,25.287033,11.839253,9.11184,9.064716,9.6488495,9.003801,9.003801,9.003801,18.25501,11.73112,10.913557,12.64397,11.69238,50.627205,50.627205,28.427847,29.916325,12.864702,12.864702,12.616576,14.622429,22.145288,16.645584,12.224741,13.201544,13.201544,13.554048,19.234941,15.569142,19.702667,18.538778,17.675917,23.214312,23.214312,23.214312,23.195547,23.195547,15.397032,15.397032,15.397032
TX-CR-5,9.369658,9.33511,9.33511,50.61778,44.68827,44.68827,0.0,0.0,0.0,0.0,9.975337,9.975337,17.64052,21.573692,25.946983,23.391788,14.519637,13.683645,26.603086,24.532646,19.404198,19.404198,19.404198,19.404198,15.401699,16.64029,16.64029,10.349001,10.349001,17.563152,17.563152,14.798437,9.00741,9.00741,15.592816,11.08782,27.405264,27.405264,27.405264,27.405264,10.304738,10.304738,10.304738,12.258393,29.908619,29.908619,14.946798,14.946798,14.946798,14.293816,14.293816,23.097637,21.393597,13.734327,31.68468,32.057766,12.69827,13.989516,13.989516,15.54058,10.429356,10.429356,10.19413,10.19413,16.541567,16.371618,15.996553,17.388643,12.662077,12.662077,9.790489,13.248917,12.828954,13.248917,13.248917,13.761351,13.761351,14.209997,14.209997,10.613529,10.613529,10.4802,15.165991,15.165991,15.222542,15.222542,15.222542,11.15556,13.6846075,13.6846075,12.992513,17.498468,18.224539,39.20659,39.20659,39.20659,14.916094,15.952772,25.287033,11.839253,9.11184,9.064716,9.6488495,9.003801,9.003801,9.003801,18.25501,11.73112,10.913557,12.64397,11.69238,50.627205,50.627205,28.427847,29.916325,12.864702,12.864702,12.616576,14.622429,22.145288,16.645584,12.224741,13.201544,13.201544,13.554048,19.234941,15.569142,19.702667,18.538778,17.675917,23.214312,23.214312,23.214312,23.195547,23.195547,15.397032,15.397032,15.397032
