,NC-GSM-2,NC-GSM-4,NC-GSM-5,TX-LL-2,TX-MC-1,TX-MC-3,TX-CR-1,TX-CR-3,TX-CR-4,TX-CR-5,TX-GCS-1,TX-GCS-2,TX-GCS-5,NC-CMSP-5,TX-DP-2,TX-DP-5,CO-HM-1,OH-WN-4,OH-CV-1,OH-CV-4,AL-OM-1,AL-OM-2,AL-OM-4,AL-OM-5,AL-TIH-1,AL-TIH-3,AL-TIH-4,KY-RR-2,KY-RR-5,NY-BM-1,NY-BM-2,NY-BM-5,TX-CB-2,TX-CB-4,SC-AJ-2,AL-CSP-3,DE-WC-1,DE-WC-2,DE-WC-3,DE-WC-5,PA-BE-2,PA-BE-3,PA-BE-4,PA-SGL-2,MD-SERC-1,MD-SERC-3,MN-BR-1,MN-BR-2,MN-BR-3,MN-BR-4,MN-BR-5,MN-MS-3,MN-MS-5,OH-MSF-2,PA-RC-2,PA-RC-3,IN-SS-1,SD-AS-2,SD-AS-3,IL-CL-2,GA-CNF-1,GA-CNF-2,GA-CNF-4,GA-CNF-5,SD-OL-3,SD-OL-4,IL-KS-1,SD-LH-1,SD-SS-1,SD-SS-2,WA-SB-4,ND-KS-1,ND-KS-2,ND-KS-3,ND-KS-4,ND-AN-1,ND-AN-2,ND-AN-4,ND-AN-5,ND-WL-1,ND-WL-2,ND-WL-5,ND-LL-1,ND-LL-2,ND-LL-3,ND-LL-4,ND-LL-5,ND-LI-5,ND-LN-4,ND-LN-5,ND-LZ-5,AL-BN-2,AL-BN-4,TN-WR-2,TN-WR-4,TN-WR-5,IN-WM-5,TN-CS-1,GA-RT-4,AL-TN-2,WY-TB-2,WY-TB-3,MT-CG-3,MT-PC-1,MT-PC-3,MT-PC-4,MI-PR-2,WY-BH-4,WY-BH-5,SD-BH-2,SD-BH-5,MN-CF-1,MN-CF-2,MN-LR-5,IA-RR-4,IA-CS-4,IA-CS-5,TX-SH-2,FL-WP-3,KS-MS-2,FL-BS-3,TX-MN-2,TX-MN-4,TX-MN-5,LA-HN-5,MN-SD-5,MN-RR-3,LA-LO-1,LA-LO-2,LA-LO-3,LA-AN-1,LA-AN-2,LA-AN-3,LA-AN-4,LA-AN-5,MN-MH-3,MN-MH-4,MN-MH-5
NC-GSM-2,0.0,9.687069,9.687069,40.3011,52.597534,52.597534,34.837795,34.837795,34.837795,34.837795,35.928207,35.928207,42.80009,38.383526,36.892014,34.372353,34.180946,33.69935,39.860207,39.06354,37.302124,37.302124,37.302124,37.302124,34.992012,36.021145,36.021145,32.021473,32.021473,37.087418,37.087418,35.450443,31.456364,31.456364,37.14662,32.42025,37.720665,37.720665,37.720665,37.720665,32.19173,32.19173,32.19173,33.79629,24.299007,24.299007,31.17895,31.17895,31.17895,32.56827,32.56827,28.72648,29.249279,35.94463,41.597607,41.199005,33.159176,32.12078,32.12078,32.53589,29.652863,29.652863,29.713629,29.713629,29.793104,29.95899,33.942562,33.470432,31.775644,31.775644,32.904686,31.718039,31.71,31.718039,31.718039,32.018612,32.018612,31.600452,31.600452,31.65872,31.65872,31.616314,30.82722,30.82722,30.823742,30.823742,30.823742,33.186623,34.028896,34.028896,34.796494,33.48469,33.11184,44.747948,44.747948,44.747948,33.737514,28.757246,34.832325,32.313183,31.58249,31.4738,31.461004,31.263756,31.263756,31.263756,17.085949,29.488604,29.327106,33.470642,33.145546,48.158478,48.158478,33.852367,40.884216,32.588673,32.588673,34.38779,30.910067,29.1936,31.021406,31.97609,31.814114,31.814114,28.090492,32.11761,27.2794,20.439556,21.334143,20.885464,18.673199,18.673199,18.673199,17.664164,17.664164,34.302917,34.302917,34.302917
NC-GSM-4,9.687069,0.0,0.0,40.233948,52.53018,52.53018,34.772335,34.772335,34.772335,34.772335,35.671837,35.671837,42.542027,38.124382,36.823853,34.305683,34.11212,33.44394,39.791424,38.994965,37.236298,37.236298,37.236298,37.236298,34.92385,35.952442,35.952442,32.61092,32.61092,37.02501,37.02501,35.39123,31.389225,31.389225,37.079838,32.351078,37.655476,37.655476,37.655476,37.655476,32.592793,32.592793,32.592793,33.731255,24.236685,24.236685,31.10722,31.10722,31.10722,32.501904,32.501904,28.658693,29.18186,35.879192,41.529163,41.130127,32.90359,32.052124,32.052124,32.4712,29.594692,29.594692,29.656284,29.656284,29.555153,29.888765,33.877495,33.404957,31.70745,31.70745,32.835255,31.65236,31.643373,31.65236,31.65236,32.387623,32.387623,31.532726,31.532726,31.589108,31.589108,31.546543,30.752544,30.752544,30.74069,30.74069,30.74069,33.121006,33.971767,33.971767,34.730568,32.97964,33.044945,44.681087,44.681087,44.681087,33.48082,28.69454,34.575054,32.443176,31.715002,31.60602,31.392956,30.99841,30.99841,30.99841,17.024323,29.422018,29.455187,33.40391,33.07898,48.09126,48.09126,33.785206,40.814713,32.71436,32.71436,33.4544,30.842884,29.128767,30.95361,31.912788,31.753847,31.753847,28.020641,32.04775,27.208855,20.36896,21.264572,20.815834,18.610567,18.610567,18.610567,17.601679,17.601679,34.236652,34.236652,34.236652
NC-GSM-5,9.687069,0.0,0.0,40.233948,52.53018,52.53018,34.772335,34.772335,34.772335,34.772335,35.671837,35.671837,42.542027,38.124382,36.823853,34.305683,34.11212,33.44394,39.791424,38.994965,37.236298,37.236298,37.236298,37.236298,34.92385,35.952442,35.952442,32.61092,32.61092,37.02501,37.02501,35.39123,31.389225,31.389225,37.079838,32.351078,37.655476,37.655476,37.655476,37.655476,32.592793,32.592793,32.592793,33.731255,24.236685,24.236685,31.10722,31.10722,31.10722,32.501904,32.501904,28.658693,29.18186,35.879192,41.529163,41.130127,32.90359,32.052124,32.052124,32.4712,29.594692,29.594692,29.656284,29.656284,29.555153,29.888765,33.877495,33.404957,31.70745,31.70745,32.835255,31.65236,31.643373,31.65236,31.65236,32.387623,32.387623,31.532726,31.532726,31.589108,31.589108,31.546543,30.752544,30.752544,30.74069,30.74069,30.74069,33.121006,33.971767,33.971767,34.730568,32.97964,33.044945,44.681087,44.681087,44.681087,33.48082,28.69454,34.575054,32.443176,31.715002,31.60602,31.392956,30.99841,30.99841,30.99841,17.024323,29.422018,29.455187,33.40391,33.07898,48.09126,48.09126,33.785206,40.814713,32.71436,32.71436,33.4544,30.842884,29.128767,30.95361,31.912788,31.753847,31.753847,28.020641,32.04775,27.208855,20.36896,21.264572,20.815834,18.610567,18.610567,18.610567,17.601679,17.601679,34.236652,34.236652,34.236652
TX-LL-2,40.3011,40.233948,40.233948,0.0,59.8393,59.8393,42.60474,42.60474,42.60474,42.60474,42.92805,42.92805,50.70869,46.033638,45.24007,41.540943,43.22282,41.313625,45.610798,44.83113,45.52196,45.52196,45.52196,45.52196,41.62941,42.67326,42.67326,40.577183,40.577183,43.082363,43.082363,41.41836,39.639626,39.639626,43.178555,40.53981,43.398895,43.398895,43.398895,43.398895,40.604855,40.604855,40.604855,42.290123,29.430462,29.430462,38.13504,38.13504,38.13504,39.355236,39.355236,35.275608,36.234406,41.77031,47.50009,47.06077,40.75029,38.55205,38.55205,40.27437,40.945667,40.945667,40.627426,40.627426,38.20825,36.951447,42.084602,40.497227,40.158657,40.158657,39.955727,40.189175,40.15527,40.189175,40.189175,38.13572,38.13572,38.24078,38.24078,39.946182,39.946182,40.420784,36.864887,36.864887,36.86833,36.86833,36.86833,39.26654,39.8972,39.8972,40.75433,40.267796,40.293842,49.939465,49.939465,49.939465,41.411304,39.59101,42.749653,41.231213,40.521816,39.911266,40.092384,38.76617,38.76617,38.76617,22.10237,38.257603,38.36145,41.89859,41.891045,56.454662,56.454662,42.57336,49.27457,41.413586,41.413586,38.70399,36.69789,36.783012,36.952873,40.055904,40.387268,40.387268,33.943115,38.093124,32.97853,25.982044,26.877459,26.433907,23.861605,23.861605,23.861605,22.845287,22.845287,42.451294,42.451294,42.451294
TX-MC-1,52.597534,52.53018,52.53018,59.8393,0.0,0.0,50.813232,50.813232,50.813232,50.813232,48.907055,48.907055,55.29474,58.896782,57.657593,54.843067,56.28965,54.52638,60.71837,59.897213,58.37572,58.37572,58.37572,58.37572,55.974575,57.024582,57.024582,52.965206,52.965206,57.635204,57.635204,55.998737,52.846264,52.846264,57.807285,53.33045,58.285587,58.285587,58.285587,58.285587,53.153107,53.153107,53.153107,54.216713,44.253338,44.253338,52.219913,52.219913,52.219913,53.625484,53.625484,49.132442,50.0408,54.023544,62.37462,61.95417,53.301846,52.702198,52.702198,53.37832,54.015713,54.015713,54.07301,54.07301,51.730473,51.18128,54.350098,53.75972,52.61045,52.61045,53.688255,54.77395,54.74598,54.77395,54.77395,53.029728,53.029728,52.53077,52.53077,52.66173,52.66173,52.61897,51.31856,51.31856,51.282833,51.282833,51.282833,53.695835,54.462063,54.462063,55.27448,54.752243,54.377438,65.51013,65.51013,65.51013,54.14297,51.547314,56.17338,54.225113,52.75334,52.63832,52.900616,52.44591,52.44591,52.44591,36.927505,51.257137,50.460102,54.239143,53.926548,72.31042,72.31042,57.338753,61.93468,53.35957,53.35957,54.954903,51.239506,50.703255,51.36855,53.483334,52.417694,52.417694,48.446617,52.635166,47.57909,40.55966,41.454514,41.01197,38.6155,38.6155,38.6155,37.602802,37.602802,56.08971,56.08971,56.08971
TX-MC-3,52.597534,52.53018,52.53018,59.8393,0.0,0.0,50.813232,50.813232,50.813232,50.813232,48.907055,48.907055,55.29474,58.896782,57.657593,54.843067,56.28965,54.52638,60.71837,59.897213,58.37572,58.37572,58.37572,58.37572,55.974575,57.024582,57.024582,52.965206,52.965206,57.635204,57.635204,55.998737,52.846264,52.846264,57.807285,53.33045,58.285587,58.285587,58.285587,58.285587,53.153107,53.153107,53.153107,54.216713,44.253338,44.253338,52.219913,52.219913,52.219913,53.625484,53.625484,49.132442,50.0408,54.023544,62.37462,61.95417,53.301846,52.702198,52.702198,53.37832,54.015713,54.015713,54.07301,54.07301,51.730473,51.18128,54.350098,53.75972,52.61045,52.61045,53.688255,54.77395,54.74598,54.77395,54.77395,53.029728,53.029728,52.53077,52.53077,52.66173,52.66173,52.61897,51.31856,51.31856,51.282833,51.282833,51.282833,53.695835,54.462063,54.462063,55.27448,54.752243,54.377438,65.51013,65.51013,65.51013,54.14297,51.547314,56.17338,54.225113,52.75334,52.63832,52.900616,52.44591,52.44591,52.44591,36.927505,51.257137,50.460102,54.239143,53.926548,72.31042,72.31042,57.338753,61.93468,53.35957,53.35957,54.954903,51.239506,50.703255,51.36855,53.483334,52.417694,52.417694,48.446617,52.635166,47.57909,40.55966,41.454514,41.01197,38.6155,38.6155,38.6155,37.602802,37.602802,56.08971,56.08971,56.08971
TX-CR-1,34.837795,34.772335,34.772335,42.60474,50.813232,50.813232,0.0,0.0,0.0,0.0,28.99671,28.99671,35.665337,40.990036,39.977966,37.02208,38.43394,36.09561,42.738194,41.93881,40.770817,40.770817,40.770817,40.770817,37.70583,38.745945,38.745945,35.082947,35.082947,39.875935,39.875935,38.241985,34.60363,34.60363,39.934242,35.816235,40.561897,40.561897,40.561897,40.561897,35.04945,35.04945,35.04945,36.33664,27.011904,27.011904,33.943604,33.943604,33.943604,35.34712,35.34712,31.477312,32.13219,38.825066,44.451374,44.067562,35.54934,34.88576,34.88576,34.931133,36.356953,36.356953,36.24387,36.24387,32.543056,32.706932,36.538002,36.142475,34.311768,34.311768,35.27927,36.90921,36.886055,36.90921,36.90921,35.213665,35.213665,34.708748,34.708748,34.6923,34.6923,34.649498,33.60447,33.60447,33.57091,33.57091,33.57091,35.973118,36.79817,36.79817,37.53662,36.326157,36.53046,47.571793,47.571793,47.571793,36.33552,33.78203,38.92878,35.734375,34.59227,34.478455,34.302658,34.307278,34.307278,34.307278,19.765398,32.67785,32.12938,36.266445,35.96542,51.885014,51.885014,37.21317,43.65662,35.178467,35.178467,37.148163,33.661613,32.903385,33.76404,34.80104,34.631145,34.631145,30.845135,34.89181,30.02123,23.155603,24.051502,23.602148,21.370235,21.370235,21.370235,20.361109,20.361109,36.841816,36.841816,36.841816
TX-CR-3,34.837795,34.772335,34.772335,42.60474,50.813232,50.813232,0.0,0.0,0.0,0.0,28.99671,28.99671,35.665337,40.990036,39.977966,37.02208,38.43394,36.09561,42.738194,41.93881,40.770817,40.770817,40.770817,40.770817,37.70583,38.745945,38.745945,35.082947,35.082947,39.875935,39.875935,38.241985,34.60363,34.60363,39.934242,35.816235,40.561897,40.561897,40.561897,40.561897,35.04945,35.04945,35.04945,36.33664,27.011904,27.011904,33.943604,33.943604,33.943604,35.34712,35.34712,31.477312,32.13219,38.825066,44.451374,44.067562,35.54934,34.88576,34.88576,34.931133,36.356953,36.356953,36.24387,36.24387,32.543056,32.706932,36.538002,36.142475,34.311768,34.311768,35.27927,36.90921,36.886055,36.90921,36.90921,35.213665,35.213665,34.708748,34.708748,34.6923,34.6923,34.649498,33.60447,33.60447,33.57091,33.57091,33.57091,35.973118,36.79817,36.79817,37.53662,36.326157,36.53046,47.571793,47.571793,47.571793,36.33552,33.78203,38.92878,35.734375,34.59227,34.478455,34.302658,34.307278,34.307278,34.307278,19.765398,32.67785,32.12938,36.266445,35.96542,51.885014,51.885014,37.21317,43.65662,35.178467,35.178467,37.148163,33.661613,32.903385,33.76404,34.80104,34.631145,34.631145,30.845135,34.89181,30.02123,23.155603,24.051502,23.602148,21.370235,21.370235,21.370235,20.361109,20.361109,36.841816,36.841816,36.841816
TX-CR-4,34.837795,34.772335,34.772335,42.60474,50.813232,50.813232,0.0,0.0,0.0,0.0,28.99671,28.99671,35.665337,40.990036,39.977966,37.02208,38.43394,36.09561,42.738194,41.93881,40.770817,40.770817,40.770817,40.770817,37.70583,38.745945,38.745945,35.082947,35.082947,39.875935,39.875935,38.241985,34.60363,34.60363,39.934242,35.816235,40.561897,40.561897,40.561897,40.561897,35.04945,35.04945,35.04945,36.33664,27.011904,27.011904,33.943604,33.943604,33.943604,35.34712,35.34712,31.477312,32.13219,38.825066,44.451374,44.067562,35.54934,34.88576,34.88576,34.931133,36.356953,36.356953,36.24387,36.24387,32.543056,32.706932,36.538002,36.142475,34.311768,34.311768,35.27927,36.90921,36.886055,36.90921,36.90921,35.213665,35.213665,34.708748,34.708748,34.6923,34.6923,34.649498,33.60447,33.60447,33.57091,33.57091,33.57091,35.973118,36.79817,36.79817,37.53662,36.326157,36.53046,47.571793,47.571793,47.571793,36.33552,33.78203,38.92878,35.734375,34.59227,34.478455,34.302658,34.307278,34.307278,34.307278,19.765398,32.67785,32.12938,36.266445,35.96542,51.885014,51.885014,37.21317,43.65662,35.178467,35.178467,37.148163,33.661613,32.903385,33.76404,34.80104,34.631145,34.631145,30.845135,34.89181,30.02123,23.155603,24.051502,23.602148,21.370235,21.370235,21.370235,20.361109,20.361109,36.841816,36.841816,36.841816
TX-CR-5,34.837795,34.772335,34.772335,42.60474,50.813232,50.813232,0.0,0.0,0.0,0.0,28.99671,28.99671,35.665337,40.990036,39.977966,37.02208,38.43394,36.09561,42.738194,41.93881,40.770817,40.770817,40.770817,40.770817,37.70583,38.745945,38.745945,35.082947,35.082947,39.875935,39.875935,38.241985,34.60363,34.60363,39.934242,35.816235,40.561897,40.561897,40.561897,40.561897,35.04945,35.04945,35.04945,36.33664,27.011904,27.011904,33.943604,33.943604,33.943604,35.34712,35.34712,31.477312,32.13219,38.825066,44.451374,44.067562,35.54934,34.88576,34.88576,34.931133,36.356953,36.356953,36.24387,36.24387,32.543056,32.706932,36.538002,36.142475,34.311768,34.311768,35.27927,36.90921,36.886055,36.90921,36.90921,35.213665,35.213665,34.708748,34.708748,34.6923,34.6923,34.649498,33.60447,33.60447,33.57091,33.57091,33.57091,35.973118,36.79817,36.79817,37.53662,36.326157,36.53046,47.571793,47.571793,47.571793,36.33552,33.78203,38.92878,35.734375,34.59227,34.478455,34.302658,34.307278,34.307278,34.307278,19.765398,32.67785,32.12938,36.266445,35.96542,51.885014,51.885014,37.21317,43.65662,35.178467,35.178467,37.148163,33.661613,32.903385,33.76404,34.80104,34.631145,34.631145,30.845135,34.89181,30.02123,23.155603,24.051502,23.602148,21.370235,21.370235,21.370235,20.361109,20.361109,36.841816,36.841816,36.841816
TX-GCS-1,35.928207,35.671837,35.671837,42.92805,48.907055,48.907055,28.99671,28.99671,28.99671,28.99671,0.0,0.0,20.135094,41.82164,40.88767,37.933613,39.510406,36.923016,43.708374,42.914112,41.544865,41.544865,41.544865,41.544865,38.642513,39.6887,39.6887,35.857655,35.857655,40.81171,40.81171,39.18216,35.512836,35.512836,40.91304,36.44607,41.46809,41.46809,41.46809,41.46809,35.867302,35.867302,35.867302,37.10614,27.829044,27.829044,34.863647,34.863647,34.863647,36.271152,36.271152,32.396725,32.92007,37.035713,45.393204,45.000507,36.370583,35.33674,35.33674,36.26581,36.397144,36.397144,36.272476,36.272476,33.452545,33.615803,37.368084,37.05125,35.2205,35.2205,36.354378,35.150787,37.856667,35.150787,35.150787,36.17521,36.17521,35.67048,35.67048,35.613827,35.613827,35.563553,34.518734,34.518734,34.494602,34.494602,34.494602,36.908848,37.72428,37.72428,38.47985,37.966496,37.474155,48.53907,48.53907,48.53907,37.331116,34.688923,39.598923,36.807697,35.495792,35.381695,35.394306,35.21283,35.21283,35.21283,20.555805,33.77005,33.233055,37.17279,36.87328,51.773117,51.773117,38.143353,44.589622,36.28407,36.28407,38.107147,34.566105,33.187187,34.6708,35.89429,35.540165,35.540165,31.759312,35.831036,30.924232,24.009604,24.906292,24.45637,22.190851,22.190851,22.190851,21.178492,21.178492,37.7476,37.7476,37.7476
TX-GCS-2,35.928207,35.671837,35.671837,42.92805,48.907055,48.907055,28.99671,28.99671,28.99671,28.99671,0.0,0.0,20.135094,41.82164,40.88767,37.933613,39.510406,36.923016,43.708374,42.914112,41.544865,41.544865,41.544865,41.544865,38.642513,39.6887,39.6887,35.857655,35.857655,40.81171,40.81171,39.18216,35.512836,35.512836,40.91304,36.44607,41.46809,41.46809,41.46809,41.46809,35.867302,35.867302,35.867302,37.10614,27.829044,27.829044,34.863647,34.863647,34.863647,36.271152,36.271152,32.396725,32.92007,37.035713,45.393204,45.000507,36.370583,35.33674,35.33674,36.26581,36.397144,36.397144,36.272476,36.272476,33.452545,33.615803,37.368084,37.05125,35.2205,35.2205,36.354378,35.150787,37.856667,35.150787,35.150787,36.17521,36.17521,35.67048,35.67048,35.613827,35.613827,35.563553,34.518734,34.518734,34.494602,34.494602,34.494602,36.908848,37.72428,37.72428,38.47985,37.966496,37.474155,48.53907,48.53907,48.53907,37.331116,34.688923,39.598923,36.807697,35.495792,35.381695,35.394306,35.21283,35.21283,35.21283,20.555805,33.77005,33.233055,37.17279,36.87328,51.773117,51.773117,38.143353,44.589622,36.28407,36.28407,38.107147,34.566105,33.187187,34.6708,35.89429,35.540165,35.540165,31.759312,35.831036,30.924232,24.009604,24.906292,24.45637,22.190851,22.190851,22.190851,21.178492,21.178492,37.7476,37.7476,37.7476
