,NC-GSM-2,NC-GSM-4,NC-GSM-5,TX-LL-2,TX-MC-1,TX-MC-3,TX-CR-1,TX-CR-3,TX-CR-4,TX-CR-5,TX-GCS-1,TX-GCS-2,TX-GCS-5,NC-CMSP-5,TX-DP-2,TX-DP-5,CO-HM-1,OH-WN-4,OH-CV-1,OH-CV-4,AL-OM-1,AL-OM-2,AL-OM-4,AL-OM-5,AL-TIH-1,AL-TIH-3,AL-TIH-4,KY-RR-2,KY-RR-5,NY-BM-1,NY-BM-2,NY-BM-5,TX-CB-2,TX-CB-4,SC-AJ-2,AL-CSP-3,DE-WC-1,DE-WC-2,DE-WC-3,DE-WC-5,PA-BE-2,PA-BE-3,PA-BE-4,PA-SGL-2,MD-SERC-1,MD-SERC-3,MN-BR-1,MN-BR-2,MN-BR-3,MN-BR-4,MN-BR-5,MN-MS-3,MN-MS-5,OH-MSF-2,PA-RC-2,PA-RC-3,IN-SS-1,SD-AS-2,SD-AS-3,IL-CL-2,GA-CNF-1,GA-CNF-2,GA-CNF-4,GA-CNF-5,SD-OL-3,SD-OL-4,IL-KS-1,SD-LH-1,SD-SS-1,SD-SS-2,WA-SB-4,ND-KS-1,ND-KS-2,ND-KS-3,ND-KS-4,ND-AN-1,ND-AN-2,ND-AN-4,ND-AN-5,ND-WL-1,ND-WL-2,ND-WL-5,ND-LL-1,ND-LL-2,ND-LL-3,ND-LL-4,ND-LL-5,ND-LI-5,ND-LN-4,ND-LN-5,ND-LZ-5,AL-BN-2,AL-BN-4,TN-WR-2,TN-WR-4,TN-WR-5,IN-WM-5,TN-CS-1,GA-RT-4,AL-TN-2,WY-TB-2,WY-TB-3,MT-CG-3,MT-PC-1,MT-PC-3,MT-PC-4,MI-PR-2,WY-BH-4,WY-BH-5,SD-BH-2,SD-BH-5,MN-CF-1,MN-CF-2,MN-LR-5,IA-RR-4,IA-CS-4,IA-CS-5,TX-SH-2,FL-WP-3,KS-MS-2,FL-BS-3,TX-MN-2,TX-MN-4,TX-MN-5,LA-HN-5,MN-SD-5,MN-RR-3,LA-LO-1,LA-LO-2,LA-LO-3,LA-AN-1,LA-AN-2,LA-AN-3,LA-AN-4,LA-AN-5,MN-MH-3,MN-MH-4,MN-MH-5
NC-GSM-2,0.0,0.6086693,1.652402,56.174828,48.603622,48.603622,20.389149,20.389149,20.389149,20.389149,15.405543,15.405543,15.405543,27.537989,35.225334,35.225334,30.478804,17.322378,32.911873,32.911873,22.895014,22.895014,22.895014,22.895014,18.33135,21.374159,21.374159,11.362421,11.362421,29.392447,23.529194,23.529194,9.433687,9.433687,22.812248,13.151686,38.311726,38.311726,38.311726,38.311726,11.462158,11.462158,11.462158,16.753206,40.650814,33.719627,34.701973,36.206707,36.206707,36.206707,36.206707,32.933228,32.933228,25.485203,43.039062,41.526512,28.027958,37.44823,37.44823,39.04572,6.9908924,6.9908924,6.6760545,6.6760545,38.854565,38.602676,33.594578,39.6066,37.533165,37.533165,35.115658,37.67659,37.27635,37.67659,37.67659,36.795586,36.795586,36.795586,37.401165,35.945362,35.945362,35.945362,34.38636,34.38636,34.38636,34.38636,34.38636,35.590294,38.6443,38.58676,38.157005,20.267572,23.902521,46.101067,46.101067,46.101067,32.744114,19.470274,28.042936,13.203885,24.465292,24.465292,20.078083,26.139412,26.139412,26.222916,11.636633,37.427063,37.427063,24.090408,24.090408,54.782566,54.782566,38.575584,44.64525,38.051163,38.051163,18.894934,26.662088,41.632088,18.814545,31.022942,31.022942,33.566433,13.216379,25.985815,14.9225025,16.819962,16.819962,16.819962,16.58954,16.58954,16.58954,16.58954,16.58954,35.653988,35.653988,35.653988
NC-GSM-4,0.6086693,0.0,1.2628518,56.119358,48.572376,48.572376,20.356739,20.356739,20.356739,20.356739,15.376416,15.376416,15.376416,27.488585,35.188408,35.188408,30.406559,17.292358,32.881596,32.881596,22.890173,22.890173,22.890173,22.890173,18.315235,21.363281,21.363281,11.331643,11.331643,29.325272,23.482653,23.482653,9.386211,9.386211,22.739712,13.145137,38.25227,38.25227,38.25227,38.25227,11.449252,11.449252,11.449252,16.722376,40.61541,33.685513,34.662853,36.196835,36.196835,36.196835,36.196835,32.88774,32.88774,25.41259,42.962467,41.52866,27.922548,37.426285,37.426285,39.04835,7.016978,7.016978,6.6555524,6.6555524,38.777122,38.53444,33.569656,39.573307,37.50448,37.50448,35.092415,37.631783,37.269997,37.631783,37.631783,36.77697,36.77697,36.77697,37.348255,35.894676,35.894676,35.894676,34.399113,34.399113,34.399113,34.399113,34.399113,35.571766,38.53459,38.620514,38.08212,20.180641,23.869873,46.07903,46.07903,46.07903,32.70513,19.42306,28.029755,13.180204,24.433348,24.433348,20.056889,26.093542,26.093542,26.189762,11.613703,37.38115,37.38115,24.058758,24.058758,54.783367,54.783367,38.563198,44.588512,38.035614,38.035614,18.838097,26.638191,41.642345,18.802717,30.99572,30.99572,33.566143,13.149892,25.945925,14.899421,16.807423,16.807423,16.807423,16.550358,16.550358,16.550358,16.550358,16.550358,35.61475,35.61475,35.61475
NC-GSM-5,1.652402,1.2628518,0.0,56.99343,49.406364,49.406364,21.191587,21.191587,21.191587,21.191587,16.244638,16.244638,16.244638,28.339457,36.021584,36.021584,31.272228,18.139662,33.705242,33.705242,23.714941,23.714941,23.714941,23.714941,19.158724,22.197502,22.197502,12.180114,12.180114,30.187542,24.364159,24.364159,10.234029,10.234029,23.61505,14.007896,39.111145,39.111145,39.111145,39.111145,12.299711,12.299711,12.299711,17.550991,41.441673,34.515438,35.5056,37.019955,37.019955,37.019955,37.019955,33.776077,33.776077,26.304176,43.85672,42.36812,28.817741,38.281006,38.281006,39.850647,7.8189154,7.8189154,7.4360285,7.4360285,39.649364,39.40028,34.392494,40.39596,38.341408,38.341408,35.917908,38.44805,38.08702,38.44805,38.44805,37.619747,37.619747,37.619747,38.19838,36.77414,36.77414,36.77414,35.205322,35.205322,35.205322,35.205322,35.205322,36.38866,39.445564,39.443645,38.953846,21.068193,24.685848,46.952602,46.952602,46.952602,33.54231,20.290493,28.830751,14.032252,25.267662,25.267662,20.922577,26.940191,26.940191,27.018904,12.469161,38.21619,38.21619,24.895222,24.895222,55.592613,55.592613,39.373077,45.44687,38.87726,38.87726,19.719574,27.48849,42.438416,19.644598,31.829529,31.829529,34.375965,14.045361,26.767973,15.75588,17.657717,17.657717,17.657717,17.414593,17.414593,17.414593,17.414593,17.414593,36.453003,36.453003,36.453003
TX-LL-2,56.174828,56.119358,56.99343,0.0,100.59935,100.59935,70.02656,70.02656,70.02656,70.02656,64.30069,64.30069,64.30069,83.058235,88.22336,88.22336,81.739944,73.419716,97.78695,97.78695,80.47316,80.47316,80.47316,80.47316,75.45533,78.67979,78.67979,65.47202,65.47202,85.352974,79.08391,79.08391,57.45535,57.45535,80.40572,68.724625,101.86673,101.86673,101.86673,101.86673,63.38347,63.38347,63.38347,68.81111,103.65848,96.219475,94.249245,96.2362,96.2362,96.2362,96.2362,91.508896,91.508896,87.85458,106.05753,104.72182,91.894424,98.48839,98.48839,100.42277,59.297104,59.297104,58.93673,58.93673,99.981094,100.717636,99.06688,101.0961,98.57481,98.57481,88.47071,99.409515,98.79718,99.409515,99.409515,97.7535,97.7535,97.7535,98.34322,100.40444,100.40444,100.40444,100.08736,100.08736,100.08736,100.08736,100.08736,100.06887,109.22218,109.57827,108.5838,77.77598,81.61931,108.68194,108.68194,108.68194,96.985466,72.359314,81.55833,69.22598,78.21265,78.21265,74.8999,84.63837,84.63837,84.65455,62.7036,95.25391,95.25391,79.8508,79.8508,116.08404,116.08404,99.595665,104.90925,98.495514,98.495514,78.647644,80.39153,103.60491,71.9354,85.568146,85.568146,88.6727,68.231255,82.26614,66.990105,72.28222,72.28222,72.28222,70.75186,70.75186,70.75186,70.75186,70.75186,100.34991,100.34991,100.34991
TX-MC-1,48.603622,48.572376,49.406364,100.59935,0.0,0.0,58.705902,58.705902,58.705902,58.705902,52.358738,52.358738,52.358738,69.867165,77.13997,77.13997,72.33459,59.03162,76.29371,76.29371,65.106,65.106,65.106,65.106,60.074852,63.240383,63.240383,52.749897,52.749897,71.57301,65.58343,65.58343,49.85588,49.85588,65.04683,54.67092,81.78597,81.78597,81.78597,81.78597,52.73853,52.73853,52.73853,58.14751,84.029976,76.89127,77.89309,79.46429,79.46429,79.46429,79.46429,75.91986,75.91986,68.084015,86.56894,85.03868,70.936584,80.973724,80.973724,82.61676,50.94927,50.94927,50.57596,50.57596,82.35509,82.105606,76.87913,83.17302,81.053444,81.053444,77.776634,81.128914,80.71475,81.128914,81.128914,80.26632,80.26632,80.26632,80.84725,79.01807,79.01807,79.01807,77.72654,77.72654,77.72654,77.72654,77.72654,78.59749,82.7971,82.82558,82.214836,62.141937,65.88565,89.365105,89.365105,89.365105,75.84029,62.037926,71.09269,54.652615,66.54998,66.54998,62.019947,68.47662,68.47662,68.5665,52.47495,80.3418,80.3418,65.68644,65.68644,98.624695,98.624695,82.06597,88.241585,81.44058,81.44058,60.923744,68.81536,85.17484,60.749035,73.3111,73.3111,76.035446,54.50693,68.58738,56.360947,58.53264,58.53264,58.53264,58.014442,58.014442,58.014442,58.014442,58.014442,79.06329,79.06329,79.06329
TX-MC-3,48.603622,48.572376,49.406364,100.59935,0.0,0.0,58.705902,58.705902,58.705902,58.705902,52.358738,52.358738,52.358738,69.867165,77.13997,77.13997,72.33459,59.03162,76.29371,76.29371,65.106,65.106,65.106,65.106,60.074852,63.240383,63.240383,52.749897,52.749897,71.57301,65.58343,65.58343,49.85588,49.85588,65.04683,54.67092,81.78597,81.78597,81.78597,81.78597,52.73853,52.73853,52.73853,58.14751,84.029976,76.89127,77.89309,79.46429,79.46429,79.46429,79.46429,75.91986,75.91986,68.084015,86.56894,85.03868,70.936584,80.973724,80.973724,82.61676,50.94927,50.94927,50.57596,50.57596,82.35509,82.105606,76.87913,83.17302,81.053444,81.053444,77.776634,81.128914,80.71475,81.128914,81.128914,80.26632,80.26632,80.26632,80.84725,79.01807,79.01807,79.01807,77.72654,77.72654,77.72654,77.72654,77.72654,78.59749,82.7971,82.82558,82.214836,62.141937,65.88565,89.365105,89.365105,89.365105,75.84029,62.037926,71.09269,54.652615,66.54998,66.54998,62.019947,68.47662,68.47662,68.5665,52.47495,80.3418,80.3418,65.68644,65.68644,98.624695,98.624695,82.06597,88.241585,81.44058,81.44058,60.923744,68.81536,85.17484,60.749035,73.3111,73.3111,76.035446,54.50693,68.58738,56.360947,58.53264,58.53264,58.53264,58.014442,58.014442,58.014442,58.014442,58.014442,79.06329,79.06329,79.06329
TX-CR-1,20.389149,20.356739,21.191587,70.02656,58.705902,58.705902,0.0,0.0,0.0,0.0,23.023897,23.023897,23.023897,40.614716,48.12204,48.12204,43.409103,30.049055,46.304203,46.304203,35.93206,35.93206,35.93206,35.93206,31.122469,34.248333,34.248333,23.879017,23.879017,42.37547,36.47404,36.47404,21.57008,21.57008,35.83587,25.74745,51.826626,51.826626,51.826626,51.826626,23.984276,23.984276,23.984276,29.398989,54.181393,47.156506,48.0831,49.62175,49.62175,49.62175,49.62175,46.26406,46.26406,38.65951,56.557724,55.052402,41.27533,50.96258,50.96258,52.55443,22.554672,22.554672,22.185373,22.185373,52.341965,52.087467,46.981018,53.11682,51.028946,51.028946,48.30438,51.14313,50.739693,51.14313,51.14313,50.28847,50.28847,50.28847,50.862103,49.29375,49.29375,49.29375,47.833824,47.833824,47.833824,47.833824,47.833824,48.894257,52.434444,52.435364,51.90736,33.102455,36.795094,59.54852,59.54852,59.54852,46.104534,33.135258,41.86726,25.753834,37.435097,37.435097,32.95364,39.179417,39.179417,39.25919,23.872162,50.683052,50.683052,36.86027,36.86027,68.3954,68.3954,52.101448,58.17248,51.504555,51.504555,31.762304,39.68151,55.1434,31.673302,44.0956,44.0956,46.73287,25.645245,39.10502,27.543695,29.576342,29.576342,29.576342,29.162222,29.162222,29.162222,29.162222,29.162222,49.127758,49.127758,49.127758
TX-CR-3,20.389149,20.356739,21.191587,70.02656,58.705902,58.705902,0.0,0.0,0.0,0.0,23.023897,23.023897,23.023897,40.614716,48.12204,48.12204,43.409103,30.049055,46.304203,46.304203,35.93206,35.93206,35.93206,35.93206,31.122469,34.248333,34.248333,23.879017,23.879017,42.37547,36.47404,36.47404,21.57008,21.57008,35.83587,25.74745,51.826626,51.826626,51.826626,51.826626,23.984276,23.984276,23.984276,29.398989,54.181393,47.156506,48.0831,49.62175,49.62175,49.62175,49.62175,46.26406,46.26406,38.65951,56.557724,55.052402,41.27533,50.96258,50.96258,52.55443,22.554672,22.554672,22.185373,22.185373,52.341965,52.087467,46.981018,53.11682,51.028946,51.028946,48.30438,51.14313,50.739693,51.14313,51.14313,50.28847,50.28847,50.28847,50.862103,49.29375,49.29375,49.29375,47.833824,47.833824,47.833824,47.833824,47.833824,48.894257,52.434444,52.435364,51.90736,33.102455,36.795094,59.54852,59.54852,59.54852,46.104534,33.135258,41.86726,25.753834,37.435097,37.435097,32.95364,39.179417,39.179417,39.25919,23.872162,50.683052,50.683052,36.86027,36.86027,68.3954,68.3954,52.101448,58.17248,51.504555,51.504555,31.762304,39.68151,55.1434,31.673302,44.0956,44.0956,46.73287,25.645245,39.10502,27.543695,29.576342,29.576342,29.576342,29.162222,29.162222,29.162222,29.162222,29.162222,49.127758,49.127758,49.127758
TX-CR-4,20.389149,20.356739,21.191587,70.02656,58.705902,58.705902,0.0,0.0,0.0,0.0,23.023897,23.023897,23.023897,40.614716,48.12204,48.12204,43.409103,30.049055,46.304203,46.304203,35.93206,35.93206,35.93206,35.93206,31.122469,34.248333,34.248333,23.879017,23.879017,42.37547,36.47404,36.47404,21.57008,21.57008,35.83587,25.74745,51.826626,51.826626,51.826626,51.826626,23.984276,23.984276,23.984276,29.398989,54.181393,47.156506,48.0831,49.62175,49.62175,49.62175,49.62175,46.26406,46.26406,38.65951,56.557724,55.052402,41.27533,50.96258,50.96258,52.55443,22.554672,22.554672,22.185373,22.185373,52.341965,52.087467,46.981018,53.11682,51.028946,51.028946,48.30438,51.14313,50.739693,51.14313,51.14313,50.28847,50.28847,50.28847,50.862103,49.29375,49.29375,49.29375,47.833824,47.833824,47.833824,47.833824,47.833824,48.894257,52.434444,52.435364,51.90736,33.102455,36.795094,59.54852,59.54852,59.54852,46.104534,33.135258,41.86726,25.753834,37.435097,37.435097,32.95364,39.179417,39.179417,39.25919,23.872162,50.683052,50.683052,36.86027,36.86027,68.3954,68.3954,52.101448,58.17248,51.504555,51.504555,31.762304,39.68151,55.1434,31.673302,44.0956,44.0956,46.73287,25.645245,39.10502,27.543695,29.576342,29.576342,29.576342,29.162222,29.162222,29.162222,29.162222,29.162222,49.127758,49.127758,49.127758
TX-CR-5,20.389149,20.356739,21.191587,70.02656,58.705902,58.705902,0.0,0.0,0.0,0.0,23.023897,23.023897,23.023897,40.614716,48.12204,48.12204,43.409103,30.049055,46.304203,46.304203,35.93206,35.93206,35.93206,35.93206,31.122469,34.248333,34.248333,23.879017,23.879017,42.37547,36.47404,36.47404,21.57008,21.57008,35.83587,25.74745,51.826626,51.826626,51.826626,51.826626,23.984276,23.984276,23.984276,29.398989,54.181393,47.156506,48.0831,49.62175,49.62175,49.62175,49.62175,46.26406,46.26406,38.65951,56.557724,55.052402,41.27533,50.96258,50.96258,52.55443,22.554672,22.554672,22.185373,22.185373,52.341965,52.087467,46.981018,53.11682,51.028946,51.028946,48.30438,51.14313,50.739693,51.14313,51.14313,50.28847,50.28847,50.28847,50.862103,49.29375,49.29375,49.29375,47.833824,47.833824,47.833824,47.833824,47.833824,48.894257,52.434444,52.435364,51.90736,33.102455,36.795094,59.54852,59.54852,59.54852,46.104534,33.135258,41.86726,25.753834,37.435097,37.435097,32.95364,39.179417,39.179417,39.25919,23.872162,50.683052,50.683052,36.86027,36.86027,68.3954,68.3954,52.101448,58.17248,51.504555,51.504555,31.762304,39.68151,55.1434,31.673302,44.0956,44.0956,46.73287,25.645245,39.10502,27.543695,29.576342,29.576342,29.576342,29.162222,29.162222,29.162222,29.162222,29.162222,49.127758,49.127758,49.127758
