,NC-GSM-2,NC-GSM-4,NC-GSM-5,TX-LL-2,TX-MC-1,TX-MC-3,TX-CR-1,TX-CR-3,TX-CR-4,TX-CR-5,TX-GCS-1,TX-GCS-2,TX-GCS-5,NC-CMSP-5,TX-DP-2,TX-DP-5,CO-HM-1,OH-WN-4,OH-CV-1,OH-CV-4,AL-OM-1,AL-OM-2,AL-OM-4,AL-OM-5,AL-TIH-1,AL-TIH-3,AL-TIH-4,KY-RR-2,KY-RR-5,NY-BM-1,NY-BM-2,NY-BM-5,TX-CB-2,TX-CB-4,SC-AJ-2,AL-CSP-3,DE-WC-1,DE-WC-2,DE-WC-3,DE-WC-5,PA-BE-2,PA-BE-3,PA-BE-4,PA-SGL-2,MD-SERC-1,MD-SERC-3,MN-BR-1,MN-BR-2,MN-BR-3,MN-BR-4,MN-BR-5,MN-MS-3,MN-MS-5,OH-MSF-2,PA-RC-2,PA-RC-3,IN-SS-1,SD-AS-2,SD-AS-3,IL-CL-2,GA-CNF-1,GA-CNF-2,GA-CNF-4,GA-CNF-5,SD-OL-3,SD-OL-4,IL-KS-1,SD-LH-1,SD-SS-1,SD-SS-2,WA-SB-4,ND-KS-1,ND-KS-2,ND-KS-3,ND-KS-4,ND-AN-1,ND-AN-2,ND-AN-4,ND-AN-5,ND-WL-1,ND-WL-2,ND-WL-5,ND-LL-1,ND-LL-2,ND-LL-3,ND-LL-4,ND-LL-5,ND-LI-5,ND-LN-4,ND-LN-5,ND-LZ-5,AL-BN-2,AL-BN-4,TN-WR-2,TN-WR-4,TN-WR-5,IN-WM-5,TN-CS-1,GA-RT-4,AL-TN-2,WY-TB-2,WY-TB-3,MT-CG-3,MT-PC-1,MT-PC-3,MT-PC-4,MI-PR-2,WY-BH-4,WY-BH-5,SD-BH-2,SD-BH-5,MN-CF-1,MN-CF-2,MN-LR-5,IA-RR-4,IA-CS-4,IA-CS-5,TX-SH-2,FL-WP-3,KS-MS-2,FL-BS-3,TX-MN-2,TX-MN-4,TX-MN-5,LA-HN-5,MN-SD-5,MN-RR-3,LA-LO-1,LA-LO-2,LA-LO-3,LA-AN-1,LA-AN-2,LA-AN-3,LA-AN-4,LA-AN-5,MN-MH-3,MN-MH-4,MN-MH-5
NC-GSM-2,0.0,24.405313,24.405313,38.960815,38.569,38.569,44.232777,44.232777,44.232777,44.232777,50.702927,50.702927,42.353405,53.786453,47.814323,51.672157,46.23345,61.201473,49.98641,52.59999,55.339176,55.339176,55.339176,55.339176,61.09589,58.250942,58.250942,67.44126,67.44126,55.821003,55.821003,58.253918,49.34327,49.34327,58.36079,68.59171,47.364697,47.364697,47.364697,47.364697,64.94395,64.94395,64.94395,61.277752,61.76349,61.76349,38.297626,38.297626,38.297626,35.089695,35.089695,56.058445,57.83183,53.41362,47.011105,48.099636,43.376297,38.198868,38.198868,34.40099,67.89321,67.89321,67.326225,67.326225,39.815872,40.153942,41.34169,36.051422,36.609333,36.609333,34.51459,35.9744,35.189297,35.9744,35.9744,39.71025,39.71025,39.942745,39.942745,41.793747,41.793747,41.052105,42.27363,42.27363,42.413094,42.413094,42.413094,46.670475,48.880417,48.880417,42.032883,65.50202,67.23278,38.88952,38.88952,38.88952,44.764874,65.87209,62.83468,67.77564,53.754135,53.479523,49.65544,53.041172,53.041172,53.041172,86.40178,52.176315,54.526386,53.55536,55.37428,39.999157,39.999157,50.375114,37.384804,34.55475,34.55475,56.034348,50.448917,56.494164,67.34506,50.024513,49.185883,49.185883,68.27053,54.91247,62.053905,57.607986,54.134735,53.255787,57.93061,57.93061,57.93061,61.359272,61.359272,38.2463,38.2463,38.2463
NC-GSM-4,24.405313,0.0,0.0,39.183964,38.795067,38.795067,44.459694,44.459694,44.459694,44.459694,50.901314,50.901314,42.53635,53.98931,48.045444,51.904423,46.46046,61.45646,50.22489,52.82093,55.56377,55.56377,55.56377,55.56377,61.34829,58.48802,58.48802,67.72032,67.72032,56.092747,56.092747,58.580864,49.574657,49.574657,58.640446,68.92703,47.592106,47.592106,47.592106,47.592106,65.18514,65.18514,65.18514,61.529785,61.99498,61.99498,38.47167,38.47167,38.47167,35.25926,35.25926,56.27353,58.049816,53.65656,47.23669,48.32662,43.582527,38.40541,38.40541,34.565613,68.25833,68.25833,68.693016,68.693016,40.024235,40.363976,41.50817,36.256237,36.809437,36.809437,34.687984,36.145363,35.360237,36.145363,36.145363,39.93026,39.93026,40.162098,40.162098,42.016926,42.016926,41.28735,42.48632,42.48632,42.62971,42.62971,42.62971,46.905804,49.107372,49.107372,42.255653,65.90125,67.57492,39.108215,39.108215,39.108215,44.987816,65.885,63.06789,68.04039,54.096886,53.819675,49.952366,53.357777,53.357777,53.357777,86.87314,52.485935,54.863617,53.787495,55.674,40.22291,40.22291,50.599697,37.56392,34.729763,34.729763,56.263035,50.677994,56.72289,67.67326,50.282066,49.41836,49.41836,68.58922,55.148697,62.297256,57.835445,54.361988,53.478977,58.15612,58.15612,58.15612,61.585434,61.585434,38.451206,38.451206,38.451206
NC-GSM-5,24.405313,0.0,0.0,39.183964,38.795067,38.795067,44.459694,44.459694,44.459694,44.459694,50.901314,50.901314,42.53635,53.98931,48.045444,51.904423,46.46046,61.45646,50.22489,52.82093,55.56377,55.56377,55.56377,55.56377,61.34829,58.48802,58.48802,67.72032,67.72032,56.092747,56.092747,58.580864,49.574657,49.574657,58.640446,68.92703,47.592106,47.592106,47.592106,47.592106,65.18514,65.18514,65.18514,61.529785,61.99498,61.99498,38.47167,38.47167,38.47167,35.25926,35.25926,56.27353,58.049816,53.65656,47.23669,48.32662,43.582527,38.40541,38.40541,34.565613,68.25833,68.25833,68.693016,68.693016,40.024235,40.363976,41.50817,36.256237,36.809437,36.809437,34.687984,36.145363,35.360237,36.145363,36.145363,39.93026,39.93026,40.162098,40.162098,42.016926,42.016926,41.28735,42.48632,42.48632,42.62971,42.62971,42.62971,46.905804,49.107372,49.107372,42.255653,65.90125,67.57492,39.108215,39.108215,39.108215,44.987816,65.885,63.06789,68.04039,54.096886,53.819675,49.952366,53.357777,53.357777,53.357777,86.87314,52.485935,54.863617,53.787495,55.674,40.22291,40.22291,50.599697,37.56392,34.729763,34.729763,56.263035,50.677994,56.72289,67.67326,50.282066,49.41836,49.41836,68.58922,55.148697,62.297256,57.835445,54.361988,53.478977,58.15612,58.15612,58.15612,61.585434,61.585434,38.451206,38.451206,38.451206
TX-LL-2,38.960815,39.183964,39.183964,0.0,12.223013,12.223013,17.08958,17.08958,17.08958,17.08958,23.725277,23.725277,15.801671,24.143076,19.163387,23.121063,18.999207,31.540886,22.310472,24.976435,25.275684,25.275684,25.275684,25.275684,29.98844,27.3987,27.3987,36.523815,36.523815,24.112001,24.112001,26.364277,21.475998,21.475998,27.906214,35.498436,19.66445,19.66445,19.66445,19.66445,33.22328,33.22328,33.22328,28.687006,32.031773,32.031773,13.178284,13.178284,13.178284,10.085877,10.085877,29.444965,30.873034,24.708096,19.631416,20.629734,17.623299,12.628441,12.628441,9.577517,37.267982,37.267982,37.94944,37.94944,14.182568,14.459274,16.313698,10.535748,11.134393,11.134393,9.568173,10.96778,10.180888,10.96778,10.96778,13.4470215,13.4470215,13.648522,13.648522,14.318431,14.318431,13.59579,16.29727,16.29727,16.27472,16.27472,16.27472,17.764486,21.292393,21.292393,15.415759,32.955906,34.682774,12.961566,12.961566,12.961566,17.978119,38.071087,33.484455,34.971596,21.361818,21.08774,20.1706,21.481472,21.481472,21.481472,47.932617,20.444387,22.759785,21.785055,23.608042,13.353307,13.353307,23.13227,12.087537,9.370605,9.370605,28.184782,20.184456,27.407654,33.94448,21.382208,20.728134,20.728134,35.777447,26.098656,30.71751,28.914463,25.616632,24.827314,30.340025,30.340025,30.340025,33.42627,33.42627,12.694998,12.694998,12.694998
TX-MC-1,38.569,38.795067,38.795067,12.223013,0.0,0.0,12.252284,12.252284,12.252284,12.252284,17.552711,17.552711,8.920924,23.510494,18.458605,22.40337,18.185081,30.971373,21.485493,24.127207,24.656044,24.656044,24.656044,24.656044,29.470636,26.879347,26.879347,36.078976,36.078976,23.566612,23.566612,25.807936,20.690401,20.690401,27.331182,35.002945,18.923332,18.923332,18.923332,18.923332,32.713398,32.713398,32.713398,28.23922,31.485966,31.485966,12.0029545,12.0029545,12.0029545,8.949066,8.949066,28.406977,29.851654,23.959625,18.782722,19.796196,16.51685,11.503217,11.503217,8.434107,36.914276,36.914276,37.587933,37.587933,13.085702,13.37132,15.138166,9.441291,9.987591,9.987591,8.467369,9.825426,9.041569,9.825426,9.825426,12.5140505,12.5140505,12.735688,12.735688,13.514204,13.514204,12.76693,15.2002535,15.2002535,15.208787,15.208787,15.208787,17.03144,20.495792,20.495792,14.5437975,32.50811,34.2189,12.0114,12.0114,12.0114,17.10006,37.577755,32.87937,34.59839,20.751444,20.520733,19.465776,20.844,20.844,20.844,47.9834,19.845963,22.143236,21.196255,23.020878,12.507965,12.507965,22.288126,10.943069,8.241486,8.241486,27.404531,19.625193,26.693027,33.457138,20.65847,20.004932,20.004932,35.32517,25.394476,30.209465,28.257778,24.960756,24.194809,29.528778,29.528778,29.528778,32.655003,32.655003,11.585803,11.585803,11.585803
TX-MC-3,38.569,38.795067,38.795067,12.223013,0.0,0.0,12.252284,12.252284,12.252284,12.252284,17.552711,17.552711,8.920924,23.510494,18.458605,22.40337,18.185081,30.971373,21.485493,24.127207,24.656044,24.656044,24.656044,24.656044,29.470636,26.879347,26.879347,36.078976,36.078976,23.566612,23.566612,25.807936,20.690401,20.690401,27.331182,35.002945,18.923332,18.923332,18.923332,18.923332,32.713398,32.713398,32.713398,28.23922,31.485966,31.485966,12.0029545,12.0029545,12.0029545,8.949066,8.949066,28.406977,29.851654,23.959625,18.782722,19.796196,16.51685,11.503217,11.503217,8.434107,36.914276,36.914276,37.587933,37.587933,13.085702,13.37132,15.138166,9.441291,9.987591,9.987591,8.467369,9.825426,9.041569,9.825426,9.825426,12.5140505,12.5140505,12.735688,12.735688,13.514204,13.514204,12.76693,15.2002535,15.2002535,15.208787,15.208787,15.208787,17.03144,20.495792,20.495792,14.5437975,32.50811,34.2189,12.0114,12.0114,12.0114,17.10006,37.577755,32.87937,34.59839,20.751444,20.520733,19.465776,20.844,20.844,20.844,47.9834,19.845963,22.143236,21.196255,23.020878,12.507965,12.507965,22.288126,10.943069,8.241486,8.241486,27.404531,19.625193,26.693027,33.457138,20.65847,20.004932,20.004932,35.32517,25.394476,30.209465,28.257778,24.960756,24.194809,29.528778,29.528778,29.528778,32.655003,32.655003,11.585803,11.585803,11.585803
TX-CR-1,44.232777,44.459694,44.459694,17.08958,12.252284,12.252284,0.0,0.0,0.0,0.0,22.430546,22.430546,14.511115,28.950891,23.786623,27.743864,23.433617,36.445724,26.76523,29.44128,30.144604,30.144604,30.144604,30.144604,35.048508,32.4185,32.4185,41.665752,41.665752,29.086086,29.086086,31.35565,25.963634,25.963634,32.831486,40.723083,24.188412,24.188412,24.188412,24.188412,38.346313,38.346313,38.346313,33.876797,36.985554,36.985554,16.838232,16.838232,16.838232,13.711398,13.711398,33.550262,35.02135,29.269485,23.987537,25.023827,21.477678,16.365835,16.365835,13.190701,42.624268,42.624268,43.336727,43.336727,17.948215,18.246666,19.972036,14.257819,14.842235,14.842235,13.140679,14.584572,13.789367,14.584572,14.584572,17.455444,17.455444,17.669754,17.669754,18.585072,18.585072,17.830736,20.244623,20.244623,20.276987,20.276987,20.276987,22.327837,25.721838,25.721838,19.482197,38.108234,39.81402,16.915447,16.915447,16.915447,22.130316,43.272057,38.372505,40.284027,26.246237,25.981188,24.84927,26.299318,26.299318,26.299318,54.10411,25.29009,27.604744,26.639954,28.481771,17.515951,17.515951,27.50681,15.808597,13.040766,13.040766,32.722874,25.09847,32.031807,39.1864,26.022085,25.340399,25.340399,41.077618,30.74691,35.753452,33.7279,30.424402,29.598232,34.796566,34.796566,34.796566,37.933933,37.933933,16.443031,16.443031,16.443031
TX-CR-3,44.232777,44.459694,44.459694,17.08958,12.252284,12.252284,0.0,0.0,0.0,0.0,22.430546,22.430546,14.511115,28.950891,23.786623,27.743864,23.433617,36.445724,26.76523,29.44128,30.144604,30.144604,30.144604,30.144604,35.048508,32.4185,32.4185,41.665752,41.665752,29.086086,29.086086,31.35565,25.963634,25.963634,32.831486,40.723083,24.188412,24.188412,24.188412,24.188412,38.346313,38.346313,38.346313,33.876797,36.985554,36.985554,16.838232,16.838232,16.838232,13.711398,13.711398,33.550262,35.02135,29.269485,23.987537,25.023827,21.477678,16.365835,16.365835,13.190701,42.624268,42.624268,43.336727,43.336727,17.948215,18.246666,19.972036,14.257819,14.842235,14.842235,13.140679,14.584572,13.789367,14.584572,14.584572,17.455444,17.455444,17.669754,17.669754,18.585072,18.585072,17.830736,20.244623,20.244623,20.276987,20.276987,20.276987,22.327837,25.721838,25.721838,19.482197,38.108234,39.81402,16.915447,16.915447,16.915447,22.130316,43.272057,38.372505,40.284027,26.246237,25.981188,24.84927,26.299318,26.299318,26.299318,54.10411,25.29009,27.604744,26.639954,28.481771,17.515951,17.515951,27.50681,15.808597,13.040766,13.040766,32.722874,25.09847,32.031807,39.1864,26.022085,25.340399,25.340399,41.077618,30.74691,35.753452,33.7279,30.424402,29.598232,34.796566,34.796566,34.796566,37.933933,37.933933,16.443031,16.443031,16.443031
TX-CR-4,44.232777,44.459694,44.459694,17.08958,12.252284,12.252284,0.0,0.0,0.0,0.0,22.430546,22.430546,14.511115,28.950891,23.786623,27.743864,23.433617,36.445724,26.76523,29.44128,30.144604,30.144604,30.144604,30.144604,35.048508,32.4185,32.4185,41.665752,41.665752,29.086086,29.086086,31.35565,25.963634,25.963634,32.831486,40.723083,24.188412,24.188412,24.188412,24.188412,38.346313,38.346313,38.346313,33.876797,36.985554,36.985554,16.838232,16.838232,16.838232,13.711398,13.711398,33.550262,35.02135,29.269485,23.987537,25.023827,21.477678,16.365835,16.365835,13.190701,42.624268,42.624268,43.336727,43.336727,17.948215,18.246666,19.972036,14.257819,14.842235,14.842235,13.140679,14.584572,13.789367,14.584572,14.584572,17.455444,17.455444,17.669754,17.669754,18.585072,18.585072,17.830736,20.244623,20.244623,20.276987,20.276987,20.276987,22.327837,25.721838,25.721838,19.482197,38.108234,39.81402,16.915447,16.915447,16.915447,22.130316,43.272057,38.372505,40.284027,26.246237,25.981188,24.84927,26.299318,26.299318,26.299318,54.10411,25.29009,27.604744,26.639954,28.481771,17.515951,17.515951,27.50681,15.808597,13.040766,13.040766,32.722874,25.09847,32.031807,39.1864,26.022085,25.340399,25.340399,41.077618,30.74691,35.753452,33.7279,30.424402,29.598232,34.796566,34.796566,34.796566,37.933933,37.933933,16.443031,16.443031,16.443031
TX-CR-5,44.232777,44.459694,44.459694,17.08958,12.252284,12.252284,0.0,0.0,0.0,0.0,22.430546,22.430546,14.511115,28.950891,23.786623,27.743864,23.433617,36.445724,26.76523,29.44128,30.144604,30.144604,30.144604,30.144604,35.048508,32.4185,32.4185,41.665752,41.665752,29.086086,29.086086,31.35565,25.963634,25.963634,32.831486,40.723083,24.188412,24.188412,24.188412,24.188412,38.346313,38.346313,38.346313,33.876797,36.985554,36.985554,16.838232,16.838232,16.838232,13.711398,13.711398,33.550262,35.02135,29.269485,23.987537,25.023827,21.477678,16.365835,16.365835,13.190701,42.624268,42.624268,43.336727,43.336727,17.948215,18.246666,19.972036,14.257819,14.842235,14.842235,13.140679,14.584572,13.789367,14.584572,14.584572,17.455444,17.455444,17.669754,17.669754,18.585072,18.585072,17.830736,20.244623,20.244623,20.276987,20.276987,20.276987,22.327837,25.721838,25.721838,19.482197,38.108234,39.81402,16.915447,16.915447,16.915447,22.130316,43.272057,38.372505,40.284027,26.246237,25.981188,24.84927,26.299318,26.299318,26.299318,54.10411,25.29009,27.604744,26.639954,28.481771,17.515951,17.515951,27.50681,15.808597,13.040766,13.040766,32.722874,25.09847,32.031807,39.1864,26.022085,25.340399,25.340399,41.077618,30.74691,35.753452,33.7279,30.424402,29.598232,34.796566,34.796566,34.796566,37.933933,37.933933,16.443031,16.443031,16.443031
