Genus,Richness,Correlated with,Spearman_coefficient,P-value,Adjusted P-value
Actinomycetospora,E,L. welshimeri,-0.278868989,0.000848455,0.018666004274080755
Actinomycetospora,F,L. welshimeri,-0.284111241,0.000669209,0.013086757704737672
Actinomycetospora,G,L. welshimeri,-0.357364791,1.4608932872497093e-05,0.000428529
Actinomycetospora,M,L. welshimeri,-0.260496862,0.001880674,0.036886247
Actinomycetospora,P,L. welshimeri,-0.268019687,0.001366642,0.015033064523334728
Aetherobacter,E,L. welshimeri,0.33156337005572684,6.287861080459915e-05,0.006220747
Aetherobacter,F,L. welshimeri,0.32165074012134537,0.000106537,0.00375011
Aetherobacter,G,L. welshimeri,0.3158681982850634,0.000143708,0.002107715
Aetherobacter,N,L. welshimeri,-0.311564511,0.000178862,0.031479752
Alicyclobacillus,P,L. welshimeri,0.24920414287070447,0.002985975,0.030913621184842133
Anaeromyxobacter,P,L. welshimeri,0.2956963911670378,0.000389619,0.005714414
Balneimonas,E,L. welshimeri,-0.273483297,0.001077579,0.021072651418169185
Balneimonas,F,L. welshimeri,-0.408062952,5.598456419266e-07,4.9266416489540805e-05
Balneimonas,G,L. welshimeri,-0.351780241,2.025653070737013e-05,0.000445644
Balneimonas,H,L. welshimeri,-0.39240747,1.6254213187174009e-06,0.000286074
Balneimonas,M,L. welshimeri,-0.373529203,5.47597583078963e-06,0.000963772
Burkholderia,E,L. welshimeri,0.28975734903915235,0.000515597,0.012963574493033241
Burkholderia,G,L. welshimeri,0.28562290725147854,0.00062441,0.006105339
Burkholderia,P,L. welshimeri,0.23737272597496603,0.00474389,0.043943399282861006
Candidatus Koribacter,G,L. welshimeri,0.31181761599398183,0.000176591,0.002390774
Candidatus Koribacter,P,L. welshimeri,0.29341207483044707,0.000434258,0.005879192
Candidatus Xiphinematobacter,F,L. welshimeri,0.2498511033454339,0.002909511,0.045614766
Candidatus Xiphinematobacter,G,L. welshimeri,0.3841601704980641,2.789021174671666e-06,0.000119645
Candidatus Xiphinematobacter,P,L. welshimeri,0.370288633,6.6949283229116955e-06,0.000294577
Chryseobacterium,E,L. welshimeri,-0.245896751,0.003405942,0.049953809
Chthoniobacter,E,L. welshimeri,0.26606028665450937,0.001486457,0.026161648944795207
Couchioplanes,G,L. welshimeri,-0.289682475,0.000517401,0.005356623
Cupriavidus,G,L. welshimeri,0.29443378199238474,0.000413739,0.004551128
Cupriavidus,P,L. welshimeri,0.28623797751654656,0.000606985,0.007121954
DA101,E,L. welshimeri,0.32939116002320507,7.069030556074194e-05,0.006220747
DA101,G,L. welshimeri,0.2480831250416706,0.003122771,0.022900324
Dactylosporangium,M,L. welshimeri,-0.291648405,0.000471904,0.016611014179405092
Devosia,G,L. welshimeri,-0.283866553,0.000676733,0.006268681
Devosia,M,L. welshimeri,-0.348431166,2.4570616389520046e-05,0.002162214
Geobacter,G,L. welshimeri,0.2816774469218964,0.000747585,0.006578745
Geobacter,P,L. welshimeri,0.3235945297644374,9.620903032690993e-05,0.001881421
Geodermatophilus,E,L. welshimeri,-0.290029451,0.000509088,0.012963574493033241
Geodermatophilus,F,L. welshimeri,-0.339419755,4.086554797460049e-05,0.002397445
Geodermatophilus,G,L. welshimeri,-0.335775672,4.997933766419181e-05,0.000961228
Geodermatophilus,H,L. welshimeri,-0.30398806,0.000260826,0.015301804191426667
Geodermatophilus,M,L. welshimeri,-0.266786281,0.00144099,0.036230605142208404
Hyphomicrobium,F,L. welshimeri,0.2809364489778383,0.00077307,0.013606037554352107
Hyphomicrobium,G,L. welshimeri,0.4171637101630417,2.937268032002617e-07,2.5847958681623028e-05
Hyphomicrobium,M,L. welshimeri,0.2942039163030077,0.000418276,0.016611014179405092
Hyphomicrobium,P,L. welshimeri,0.37485377717933765,5.040958362466691e-06,0.000294577
Janthinobacterium,G,L. welshimeri,0.23843271656850834,0.004555175,0.032068429
Micromonospora,F,L. welshimeri,-0.248185102,0.003110098,0.045614766
Micromonospora,G,L. welshimeri,-0.326193025,8.385793407432792e-05,0.001341727
Micromonospora,P,L. welshimeri,-0.363679643,1.001998606467773e-05,0.000352704
Mycobacterium,G,L. welshimeri,0.2713394387867049,0.001183583,0.009468662
Mycobacterium,K,L. welshimeri,0.2926040066881506,0.000451148,0.039701063
Nitrospira,P,L. welshimeri,0.2897482097218963,0.000515817,0.006484552
Nitrospira,Q,L. welshimeri,0.33125990111249076,6.391912997764639e-05,0.011249766876065763
Novosphingobium,L,L. welshimeri,0.3100778890778089,0.000192759,0.033925498
Novosphingobium,P,L. welshimeri,0.3289000091198253,7.257818726482899e-05,0.00159672
Oryzihumus,G,L. welshimeri,0.22694070643777756,0.00700935,0.047447905242803935
Pedomicrobium,F,L. welshimeri,0.2847481604712532,0.000649985,0.013086757704737672
Pedomicrobium,G,L. welshimeri,0.2978119270763504,0.000352099,0.004131294
Pedomicrobium,P,L. welshimeri,0.33188444368239917,6.179500790762377e-05,0.001553703
Pseudomonas,G,L. welshimeri,0.26313112576394554,0.001683489,0.012882354388844795
Pseudonocardia,G,L. welshimeri,-0.354193904,1.7601225481975674e-05,0.000442545
Pseudonocardia,M,L. welshimeri,-0.273548882,0.001074477,0.031518001
Pseudonocardia,P,L. welshimeri,-0.347557092,2.5831181165470064e-05,0.000757715
Rhodobium,F,L. welshimeri,-0.286393928,0.000602638,0.013086757704737672
Rhodobium,H,L. welshimeri,-0.276980572,0.000923143,0.032494642
Rhodobium,M,L. welshimeri,-0.260426357,0.001886229,0.036886247
Rhodomicrobium,E,L. welshimeri,0.29951531397290293,0.000324349,0.011417070111505468
Rhodomicrobium,G,L. welshimeri,0.3341555028376232,5.461523643043357e-05,0.000961228
Rhodomicrobium,K,L. welshimeri,0.331439635,6.33009393710596e-05,0.011140965
Rhodoplanes,E,L. welshimeri,0.2466802245609169,0.003301915,0.049953809
Rhodoplanes,G,L. welshimeri,0.38108203937931423,3.3990039396547814e-06,0.000119645
Rhodoplanes,P,L. welshimeri,0.38712291511401287,2.3011539702615305e-06,0.000202502
Rubrobacter,E,L. welshimeri,-0.308456139,0.000209058,0.009198568
Rubrobacter,F,L. welshimeri,-0.43010111,1.1356785091128547e-07,1.998794176038624e-05
Rubrobacter,G,L. welshimeri,-0.479058492,2.1300555984580653e-09,3.7488978532861946e-07
Rubrobacter,H,L. welshimeri,-0.358917547,1.3325229038620987e-05,0.00117262
Rubrobacter,M,L. welshimeri,-0.313730494,0.000160276,0.009402837
Rubrobacter,P,L. welshimeri,-0.311883324,0.000176006,0.003097707
Skermanella,F,L. welshimeri,-0.333216264,5.748418240714885e-05,0.002529304
Skermanella,G,L. welshimeri,-0.278989906,0.000843867,0.007072406
Solirubrobacter,G,L. welshimeri,-0.391375807,1.740389617651985e-06,0.000102103
Solirubrobacter,P,L. welshimeri,-0.403649883,7.60243391218092e-07,0.000133803
Sphingomonas,E,L. welshimeri,-0.317843503,0.00012983,0.007616704
Sphingomonas,F,L. welshimeri,-0.30795645,0.000214333,0.006287102
Sphingomonas,G,L. welshimeri,-0.302824978,0.000276129,0.003471341
Sphingomonas,P,L. welshimeri,-0.299663081,0.000322039,0.005152629
Tepidibacter,H,L. welshimeri,-0.290341208,0.000501724,0.022075861394382126
Tepidibacter,P,L. welshimeri,0.24278770328937646,0.003848458,0.03762937
A17,H,L. booriae,0.3430066229890529,0.000934396,0.015884732620797464
A17,P,L. booriae,0.39890493402414934,9.844285050576356e-05,0.000929738
A17,T,L. booriae,0.28980403171836744,0.005595078,0.027176095
Acidicapsa,P,L. booriae,0.28011470413326983,0.007494961,0.027698768344683097
Acidocella,O,L. booriae,0.2753114401320134,0.008632251,0.041928076
Acinetobacter,P,L. booriae,-0.291600705,0.005294054,0.021428311810569867
Actinoallomurus,M,L. booriae,0.3159673034022769,0.002415332,0.016424258853286463
Actinoallomurus,T,L. booriae,0.32183351413203165,0.001979835,0.01160593
Actinomycetospora,E,L. booriae,-0.426367463,2.7874167929520652e-05,0.002369304
Actinomycetospora,J,L. booriae,-0.312980524,0.002668637,0.040800263998235727
Actinomycetospora,K,L. booriae,-0.427004887,2.7033959983082045e-05,0.001531924
Actinomycetospora,M,L. booriae,-0.415381965,4.678772766132219e-05,0.000795391
Actinomycetospora,O,L. booriae,-0.488454933,1.039085841615714e-06,1.6415294953399888e-05
Actinomycetospora,P,L. booriae,-0.581437322,1.8651715883119315e-09,6.341583400260567e-08
Actinomycetospora,T,L. booriae,-0.416020151,4.5423164756437756e-05,0.000701994
Adhaeribacter,J,L. booriae,-0.351003324,0.000693935,0.019661481
Adhaeribacter,K,L. booriae,-0.351935307,0.000669943,0.009337099
Adhaeribacter,M,L. booriae,-0.349206225,0.000742424,0.007011782
Adhaeribacter,P,L. booriae,-0.302669402,0.003736695,0.018149662710173375
Aeromicrobium,K,L. booriae,-0.317388422,0.00230258,0.023136936153037916
Aeromicrobium,M,L. booriae,-0.391990551,0.000132983,0.001614794
Aeromicrobium,O,L. booriae,-0.422355578,3.3748265196930926e-05,0.000358575
Aeromicrobium,P,L. booriae,-0.368194874,0.000356339,0.002423104
Aeromicrobium,T,L. booriae,-0.344064921,0.000898721,0.00633001
Aetherobacter,O,L. booriae,0.3305230696706305,0.001464078,0.010089543365573748
Aetherobacter,P,L. booriae,0.2950172983598054,0.004761028,0.020753198401725566
Afifella,H,L. booriae,-0.508065657,3.1917267679540876e-07,5.425935505521949e-05
Afifella,J,L. booriae,-0.391444067,0.000136144,0.007714801
Afifella,K,L. booriae,-0.384245804,0.000184806,0.003927127
Afifella,M,L. booriae,-0.56501117,6.5835182928616885e-09,1.119198109786487e-06
Afifella,O,L. booriae,-0.534093931,5.916966147068651e-08,2.5147106125041767e-06
Afifella,P,L. booriae,-0.531087469,7.241150844655428e-08,1.7585652051306039e-06
Afifella,T,L. booriae,-0.548477934,2.189870090492596e-08,9.306947884593533e-07
Agrobacterium,K,L. booriae,0.3748558847467899,0.000272466,0.005146575
Agrobacterium,M,L. booriae,0.2978307284269788,0.004358518,0.026462429
Agrobacterium,T,L. booriae,0.3288280522199197,0.001553923,0.00943453
Agromyces,M,L. booriae,-0.326193518,0.0017035,0.013790241273869434
Agromyces,P,L. booriae,-0.280362789,0.007439986,0.027698768344683097
Alicyclobacillus,U,L. booriae,0.3824179832950055,0.000199496,0.012598165
Anaeromyxobacter,T,L. booriae,-0.279303588,0.007677209,0.033464755028052746
Bacillus,O,L. booriae,-0.353830134,0.000623487,0.005047279
Bacillus,P,L. booriae,-0.44646317,1.0304554125884085e-05,0.000134752
Balneimonas,E,L. booriae,-0.317204081,0.002316934,0.041436274893870216
Balneimonas,H,L. booriae,-0.384233235,0.000184903,0.005238931
Balneimonas,M,L. booriae,-0.337767088,0.001130759,0.009625787
Balneimonas,O,L. booriae,-0.456331311,6.174289140360447e-06,8.074070414317507e-05
Balneimonas,P,L. booriae,-0.594399308,6.554946581167049e-10,3.714469729327995e-08
Balneimonas,T,L. booriae,-0.308873181,0.003055916,0.017316856
Burkholderia,H,L. booriae,0.34688614634373505,0.000809595,0.015292344
Burkholderia,K,L. booriae,0.29846794785428965,0.004271677,0.038220267
Burkholderia,M,L. booriae,0.46245260378299013,4.457498426781849e-06,0.000126296
Burkholderia,O,L. booriae,0.4692055013559023,3.0888600010518086e-06,4.375885001490062e-05
Burkholderia,P,L. booriae,0.43300185768668703,2.0208684282113415e-05,0.000229032
Burkholderia,T,L. booriae,0.5065106849083205,3.5143916699233274e-07,9.61552102078669e-06
Candidatus Entotheonella,K,L. booriae,-0.321248205,0.002019859,0.022891739614891705
Candidatus Entotheonella,M,L. booriae,-0.319368291,0.002153394,0.015546784921668376
Candidatus Entotheonella,O,L. booriae,-0.351056866,0.000692535,0.00535141
Candidatus Entotheonella,P,L. booriae,-0.388933849,0.000151575,0.001255426
Candidatus Entotheonella,T,L. booriae,-0.356539364,0.000562169,0.005309371
Candidatus Koribacter,L,L. booriae,-0.344620736,0.000880485,0.049894157458972764
Candidatus Koribacter,M,L. booriae,0.2812642705009166,0.007243201,0.03972078
Candidatus Koribacter,O,L. booriae,0.37805216,0.000239052,0.002138884
Candidatus Koribacter,P,L. booriae,0.3717897995048467,0.000308512,0.002280303
Candidatus Koribacter,T,L. booriae,0.34310916433979194,0.000930884,0.00633001
Candidatus Solibacter,P,L. booriae,0.29388123475041883,0.004932715,0.020889685501284318
Candidatus Xiphinematobacter,E,L. booriae,0.3332462781133037,0.001329546,0.032288977
Candidatus Xiphinematobacter,H,L. booriae,0.3130226801409239,0.002664902,0.030202221440013607
Candidatus Xiphinematobacter,J,L. booriae,0.42744610859158005,2.646629704794141e-05,0.00449927
Candidatus Xiphinematobacter,K,L. booriae,0.40921399239890627,6.209283584494494e-05,0.002638946
