Species,Richness,Correlated with,Spearman_coefficient,P-value,Adjusted P-value
Actinomadura vinacea,H,L. welshimeri,-0.253709,0.00248912,0.044804148
Aetherobacter fasciculatus,E,L. welshimeri,0.323961534,9.43671E-05,0.00509582
Aetherobacter fasciculatus,F,L. welshimeri,0.325328865,8.77907E-05,0.0047407
Aetherobacter fasciculatus,G,L. welshimeri,0.320458991,0.00011337,0.00122442
Aetherobacter fasciculatus,N,L. welshimeri,-0.2995851,0.00032326,0.01745579
Burkholderia bryophila,E,L. welshimeri,0.255280107,0.00233428,0.04201697
Burkholderia bryophila,G,L. welshimeri,0.259811943,0.00193527,0.014929218
Clostridium butyricum,P,L. welshimeri,0.272431565,0.00112845,0.020312031
Geodermatophilus obscurus,F,L. welshimeri,-0.3026082,0.00027907,0.00753494
Geodermatophilus obscurus,G,L. welshimeri,-0.3391183,4.15559E-05,0.00074801
Geodermatophilus obscurus,H,L. welshimeri,-0.2583544,0.00205627,0.044804148
Mycobacterium celatum,G,L. welshimeri,0.34625829,2.78171E-05,0.00074801
Mycobacterium celatum,P,L. welshimeri,0.320574018,0.00011269,0.00304276
Nocardioides halotolerans,P,L. welshimeri,-0.2472198,0.00323195,0.04363133
Nocardioides halotolerans,Q,L. welshimeri,-0.3305092,6.65627E-05,0.00359438
Pseudomonas umsongensis,G,L. welshimeri,0.278358683,0.00086807,0.00781264
Pseudonocardia halophobica,All,L. welshimeri,-0.3029241,0.00027479,0.014838855
Pseudonocardia halophobica,F,L. welshimeri,-0.2917766,0.00046907,0.00844324
Pseudonocardia halophobica,G,L. welshimeri,-0.3618663,1.11749E-05,0.00060345
Pseudonocardia halophobica,P,L. welshimeri,-0.3680766,7.66989E-06,0.00041417
Rhodococcus globerulus,H,L. welshimeri,0.268098217,0.00136203,0.044804148
Rhodomicrobium vannielii,E,L. welshimeri,0.297765781,0.00035288,0.00952777
Rhodomicrobium vannielii,G,L. welshimeri,0.332650019,5.92814E-05,0.0008003
Rhodomicrobium vannielii,K,L. welshimeri,0.329727301,6.94248E-05,0.00374894
Actinoallomurus iriomotensis,T,L. booriae,0.28537476798939904,0.00640293,0.034860399
Agrobacterium sullae,G,L. booriae,0.3485753334540574,0.000760167,0.026362611780833694
Agrobacterium sullae,K,L. booriae,0.2926841522467872,0.005119556,0.041809709879279726
Bacillus longiquaesitum,M,L. booriae,-0.315025089,0.002492801,0.024429446490276605
Bacillus longiquaesitum,O,L. booriae,-0.437371295,1.6290989400701337e-05,0.000159652
Bacillus longiquaesitum,P,L. booriae,-0.48788998,1.0738701720814727e-06,1.3154909607998042e-05
Bacillus longiquaesitum,T,L. booriae,-0.313395545,0.002632069,0.016121421
Burkholderia bryophila,H,L. booriae,0.3462959059118099,0.000827545,0.013516572594754573
Burkholderia bryophila,M,L. booriae,0.43272720181862423,2.0482269531403915e-05,0.000334544
Burkholderia bryophila,O,L. booriae,0.4687177288858002,3.1726204967202932e-06,5.847293011390411e-05
Burkholderia bryophila,P,L. booriae,0.4364334938387353,1.7066452710508345e-05,0.000167251
Burkholderia bryophila,T,L. booriae,0.48154797034142555,1.5478963312007895e-06,2.528230674294623e-05
Clostridium bowmanii,E,L. booriae,-0.33427944,0.001281511,0.020931354
Clostridium bowmanii,I,L. booriae,-0.347700232,0.000785419,0.019242763
Clostridium bowmanii,K,L. booriae,-0.437655491,1.6062585783980502e-05,0.000393533
Clostridium bowmanii,U,L. booriae,-0.331765446,0.001401243,0.022886975988090606
Geodermatophilus obscurus,E,L. booriae,-0.431271648,2.1990923283018715e-05,0.001077555
Geodermatophilus obscurus,G,L. booriae,-0.339138711,0.001076025,0.026362611780833694
Geodermatophilus obscurus,K,L. booriae,-0.443999294,1.1681513660245439e-05,0.000393533
Geodermatophilus obscurus,M,L. booriae,-0.481877496,1.519040831748697e-06,3.721650037784308e-05
Geodermatophilus obscurus,O,L. booriae,-0.486747007,1.147638642274058e-06,5.6234293471428844e-05
Geodermatophilus obscurus,P,L. booriae,-0.508977308,3.0158391694428445e-07,1.0300959071249113e-05
Geodermatophilus obscurus,T,L. booriae,-0.51332269,2.2965655197322398e-07,5.626585523343988e-06
