Color,Lat,Lon,Pos,Group
#EF5350,30.4884399,-91.746747,2,C1
#EF5350,30.4802801,-91.743736,2,C1
#EF5350,42.397655,-76.534977,2,C1
#EF5350,47.035698,-117.30093,1,C1
#EF5350,30.49279,-91.74798,1,C1
#EF5350,30.4840019,-91.746734,1,C1
#EF5350,30.4760131,-91.74115,1,C1
#EF5350,46.524684,-86.466563,1,C1
#EF5350,42.411224,-76.52864,1,C1
#EF5350,41.208945,-81.55917,1,C1
#EF5350,39.7226165,-75.7402,1,C1
#EF5350,39.722096,-75.745168,1,C1
#EF5350,39.7191561,-75.743084,1,C1
#EF5350,39.7161215,-75.740546,1,C1
#90A4AE,35.1031,-89.7749,1,C2
#90A4AE,35.1076,-89.7837,1,C2
#90A4AE,40.1519771,-88.8780796,1,C2
#9575CD,44.3946711,-103.481501,2,C3
#9575CD,44.713469,-103.7185821,2,C3
#9575CD,41.5535,-93.7237,1,C3
#9575CD,44.7186164,-103.7190723,1,C3
#9575CD,46.2505251,-106.6500468,1,C3
#9575CD,46.2431352,-106.6439743,1,C3
#9575CD,34.10183,-99.75832,1,C3
#9575CD,40.42305556,-105.1597222,1,C3
#9575CD,44.0630297,-104.7102029,1,C3
#80DEEA,31.327852,-97.498598,4,C4
#80DEEA,29.55563,-98.4477,2,C4
#80DEEA,30.511099,-95.7568711,2,C4
#80DEEA,31.3215451,-97.4814256,2,C4
#80DEEA,34.0181408,-87.2596675,1,C4
#80DEEA,30.4840019,-91.746734,1,C4
#80DEEA,31.2097722,-91.8660621,1,C4
#80DEEA,31.02748,-97.6006,1,C4
#80DEEA,34.10152,-99.74787,1,C4
#80DEEA,29.5391,-98.75099,1,C4
#80DEEA,33.0640456,-96.9824472,1,C4
#80DEEA,31.3230015,-97.4860806,1,C4
#4DB6AC,41.55999,-93.27924,1,C5
#4DB6AC,29.3392,-98.8853,1,C5
#4DB6AC,44.4557875,-96.9907493,1,C5
#4DB6AC,44.4434664,-96.9869522,1,C5
#4DB6AC,40.7742,-77.9605,1,C5
#4DB6AC,42.414567,-76.529583,1,C5
#4DB6AC,29.5391,-98.75099,1,C5
#4DB6AC,47.934858,-98.0765568,1,C5
#4DB6AC,47.957088,-97.300913,1,C5
#4DB6AC,45.0255156,-93.435097,1,C5
#4DB6AC,47.965549,-97.302968,1,C5
#4DB6AC,47.9620441,-97.3027543,1,C5
#4DB6AC,47.9479395,-97.3043877,1,C5
#F57C00,44.4206,-93.1943,3,C6
#F57C00,47.9620441,-97.3027543,2,C6
#F57C00,46.5405704,-95.9683643,2,C6
#F57C00,31.032478,-97.620277,2,C6
#F57C00,44.4143,-93.1941,2,C6
#F57C00,44.4221,-93.1944,2,C6
#F57C00,45.87724,-93.53853,2,C6
#F57C00,44.4557875,-96.9907493,1,C6
#F57C00,47.957088,-97.300913,1,C6
#F57C00,31.2049842,-91.8702785,1,C6
#F57C00,46.8598515,-96.4704541,1,C6
#F57C00,46.8725641,-96.4784514,1,C6
#F57C00,46.860594,-96.4634005,1,C6
#F57C00,46.8641043,-96.4763217,1,C6
#F57C00,47.3174519,-98.8229988,1,C6
#F57C00,44.5566165,-96.5330672,1,C6
#F57C00,46.868833,-96.4786056,1,C6
#FFEB3B,44.4448909,-96.4017949,2,C7
#FFEB3B,29.54993,-98.76425,2,C7
#FFEB3B,39.0977216,-96.901369,1,C7
#FFEB3B,46.868833,-96.4786056,1,C7
#FFEB3B,44.4557875,-96.9907493,1,C7
#FFEB3B,47.9334758,-98.0710486,1,C7
#FFEB3B,47.934858,-98.0765568,1,C7
#FFEB3B,39.7226165,-75.7402,1,C7
#FFEB3B,46.8641043,-96.4763217,1,C7
#FFEB3B,44.5538719,-96.5344942,1,C7
#FFEB3B,44.4221,-93.1944,1,C7
#FFEB3B,45.0177434,-93.6295793,1,C7
#FFEB3B,41.55999,-93.27924,1,C7
#FFEB3B,47.965549,-97.302968,1,C7
#FFEB3B,29.54911,-98.76573,1,C7
#9CCC65,45.0177434,-93.6295793,2,C8
#9CCC65,41.55921,-93.27893,1,C8
#9CCC65,47.3218163,-98.8220369,1,C8
#9CCC65,47.9334758,-98.0710486,1,C8
#9CCC65,47.9620441,-97.3027543,1,C8
#9CCC65,35.104,-89.7764,1,C8
#9CCC65,41.1844365,-81.5761612,1,C8
#9CCC65,45.0280905,-93.4376361,1,C8
#9CCC65,47.957088,-97.300913,1,C8
#BCAAA4,48.545231,-103.686294,2,C9
#BCAAA4,47.9334758,-98.0710486,2,C9
#BCAAA4,48.591966,-102.443172,2,C9
#BCAAA4,48.602713,-102.447628,2,C9
#BCAAA4,47.3087237,-98.8281413,2,C9
#BCAAA4,47.3218163,-98.8220369,2,C9
#BCAAA4,47.3049564,-98.8267827,1,C9
#BCAAA4,47.9335621,-98.0812396,1,C9
#BCAAA4,43.9925354,-97.1611705,1,C9
#BCAAA4,46.469102,-103.20468,1,C9
#BCAAA4,44.4062609,-103.4828528,1,C9
#BCAAA4,46.478779,-103.203801,1,C9
#BCAAA4,44.7186164,-103.7190723,1,C9
#BCAAA4,44.713469,-103.7185821,1,C9
#BCAAA4,47.9378535,-98.0805161,1,C9
#BCAAA4,46.8725641,-96.4784514,1,C9
#BCAAA4,47.934858,-98.0765568,1,C9
#BCAAA4,47.9413131,-98.0827805,1,C9
#BCAAA4,46.480199,-103.198423,1,C9
#BCAAA4,47.34184,-102.653084,1,C9
#BCAAA4,47.3174519,-98.8229988,1,C9
