1,SRA Run Accession,Isolate ID,Sample ID,Genus,sensu,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,WGS Acession,Phylogroup,State,fosX,lin,mprF,norB,sul,lmo0209,mogR,lmo0675,fliP,fliQ,fliR,flhB,flhA,flhF,flgG,motA,motB,lmo0688,flaA,fliN_lmo0693,lmo0696,flgE,fliN_lmo0698,fliM,fliY,flgK,flgL,fliD,lmo0708,flgB,flgC,fliE,fliF,fliG,fliH,fliI,comK,comEC,comG,comGF,comGD,comGA,cinA,comEB,comEA,coiA,comFC,comFA
2,SRR10019272,L7-0001,NC-GSM-1,Listeria,strictu,L. monocytogenes,57,30,3060392,37.65,536494,103.118,PRJNA561882,VTKV00000000,L2,NC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,SRR11344258,L7-0007,NC-GSM-3,Listeria,strictu,L. innocua,31,19,2832799,37.39,537072,131.646,PRJNA561882,JAASAA000000000,L6,NC,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
4,SRR10019271,L7-0013,NC-GSM-4,Listeria,strictu,L. monocytogenes,57,27,2980928,37.81,453470,123.784,PRJNA561882,VTKU00000000,L2,NC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,SRR11344257,L7-0020,NC-GSM-5,Listeria,strictu,L. swaminathanii,166,13,2797502,38.67,1428095,127.09,PRJNA561882,JAATOD000000000,-,NC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,SRR11343925,L7-0025,NC-GSM-2,Listeria,lato,L. booriae,S5001,29,3799189,41.77,344962,60.7694,PRJNA561882,JAATOC000000000,L12,NC,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
7,SRR11343878,L7-0029,NC-GSM-4,Listeria,lato,L. booriae,S5002,27,3618090,41.96,323342,92.954,PRJNA561882,JAARZZ000000000,L12,NC,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
8,SRR11343863,L7-0030,NC-GSM-5,Listeria,lato,L. booriae,S5003,30,3631779,41.86,351581,100.934,PRJNA561882,JAARZY000000000,L12,NC,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
9,SRR11344216,L7-0031,TX-LL-2,Listeria,strictu,L. welshimeri,177,50,2795045,36.19,294483,199.222,PRJNA561882,JAASWX000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
10,SRR11344205,L7-0033,TX-LL-2,Listeria,lato,L. booriae,S5015,28,3365333,41.95,310918,51.267,PRJNA561882,JAARZX000000000,L12,TX,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
11,SRR11344194,L7-0035,TX-MC-1,Listeria,lato,L. booriae,S5016 ,62,3574472,41.73,123488,109.395,PRJNA561882,JAARZW000000000,L12,TX,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0
