 query_name, seed eggNOG ortholog, seed ortholog evalue, seed ortholog score, Predicted taxonomic group, Predicted protein name, Gene Ontology terms , EC number, KEGG_ko, KEGG_Pathway, KEGG_Module, KEGG_Reaction, KEGG_rclass, BRITE, KEGG_TC, CAZy , BiGG Reaction, tax_scope: eggNOG taxonomic level used for annotation, eggNOG OGs , COG Functional Category, eggNOG free text description
AAHKNADD_00656,386043.lwe0949,4E-119,434.1,Listeriaceae,yjbM,"GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008728,GO:0008893,GO:0009116,GO:0009117,GO:0009119,GO:0009150,GO:0009259,GO:0009605,GO:0009987,GO:0009991,GO:0015969,GO:0016020,GO:0016740,GO:0016772,GO:0016778,GO:0016787,GO:0016788,GO:0016794,GO:0019637,GO:0019693,GO:0030312,GO:0031667,GO:0033865,GO:0033875,GO:0034032,GO:0034035,GO:0034641,GO:0042278,GO:0042578,GO:0042594,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046128,GO:0046483,GO:0050896,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:1901068,GO:1901135,GO:1901360,GO:1901564,GO:1901657",2.7.6.5,ko:K07816,"ko00230,map00230",0,R00429,"RC00002,RC00078","ko00000,ko00001,ko01000",0,0,0,Bacteria,"1TQ2F@1239,26K3J@186820,4HA3Q@91061,COG2357@1,COG2357@2",S,GTP pyrophosphokinase
AAHKNADD_01040,386043.lwe0010,1.3E-12,77.8,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1U2ZD@1239,26MZT@186820,29MAB@1,30882@2,4ICNI@91061",0,0
AAHKNADD_01586,386043.lwe0512,2E-58,231.5,Listeriaceae,0,0,2.7.1.198,ko:K02781,"ko00051,ko02060,map00051,map02060",M00280,R05820,"RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000",4.A.4.1,0,0,Bacteria,"1VJU5@1239,26KN7@186820,4HQJA@91061,COG3731@1,COG3731@2",G,"to PTS system, glucitol sorbitol-specific enzyme IIA component"
AAHKNADD_01781,485916.Dtox_2441,1.8E-72,280.8,Clostridia,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1V056@1239,24KA1@186801,COG4191@1,COG4191@2",T,Histidine kinase
AAHKNADD_01782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAHKNADD_01783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAHKNADD_02198,1196083.SALWKB12_0220,1E-36,159.8,Neisseriales,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1NDAW@1224,2EAMB@1,2KTQA@206351,2W6G9@28216,334PY@2",0,0
AAHKNADD_02664,742735.HMPREF9467_02751,0.00000045,60.8,Lachnoclostridium,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TUEG@1239,223KZ@1506553,25MCI@186801,2CB7B@1,33BRQ@2",0,0
ABEGABHG_01210,272626.lin0478,1.6E-94,353.2,Firmicutes,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1W4KW@1239,2DSS5@1,33H8C@2",0,0
ABEGABHG_01211,699248.SRA_06066,2.2E-228,798.5,Bacilli,0,0,0,ko:K06915,0,0,0,0,ko00000,0,0,0,Bacteria,"1V8WX@1239,4IRQ6@91061,COG0433@1,COG0433@2",S,Domain of unknown function DUF87
